"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"CALM2.CALM2"	"SPTBN1"	"GLUL"	"GLUL"	6.33001907137964e-06	"NGRN"	"DNAJC19P8"	"MTND2P28"	"AKT3"	"KLC1"	"RPL39"	"BCAN"	"RTN1"	"RTN3"	"ACTG1"	"PPIAP22"	"RPL23"	"RPL13A"	"ATP6V1F"	"TUBA1B"	"CDR1"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"GRIA2"	"MTCO1P2"	"CHI3L1"	"CHI3L1"	1	"SPTBN1"	"BCYRN1"	"C1QA"	"KLC1"	"AKT3"	"RPLP2"	"ENC1"	"DPYSL2"	"HSP90AA1"	"RPS24"	"NGRN"	"RPS15A"	"CDR1"	"DNAJC19P8"	"SCG3"	"DNAJC19P8"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"GLUL"	"EEF1G"	"AKT3"	"AKT3"	0.991573033707865	"RPL17"	"SPTBN1"	"C1QC"	"PCDH9"	"PCDH9"	"MTND2P28"	"YBX1"	"MARCKSL1"	"NEFL"	"PRDX5"	"SPTBN1"	"ID3"	"EEF1A1P5"	"GFAP"	"AK5"	"BCYRN1"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"EGFR"	"DPYSL3"	"MOBP"	"MOBP"	0.992592592592593	"RNY3"	"MATR3"	"C1QB"	"SPTBN1"	"NDUFB7"	"SCARNA9"	"EEF2"	"IGFBP7"	"STMN2"	"MALAT1"	"SNORA73B"	"RPL30"	"PLTP"	"PTPRZ1"	"PLP1"	"SNORD3A"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"SLC1A2"	"KLC1"	"RHOA"	"UCHL1"	0.981707317073171	"RMRP"	"FCF1P1"	"ID3"	"IDS"	"SPTBN1"	"DBNDD2"	"RPS17"	"GPM6B"	"RPL3"	"CNN3"	"FCF1P1"	"RPS7"	"EEF2"	"COX6A1"	"DAD1"	"FCF1P1"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"FTL"	"FCF1P1"	"SOX2"	"PPP3CA"	0.968571428571429	"SNORD3A"	"RNY3"	"STMN1"	"ITM2B"	"ACTG1"	"MOBP"	"PRKACB"	"AKT3"	"SNURF"	"RPL21"	"SNORD17"	"COX6A1"	"C1QC"	"OLFM1"	"GNAS"	"MTCO1P2"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"TUBB"	"PTN"	"UCHL1"	"GRIA2"	0.944444444444444	"KLC1"	"RMRP"	"IFI6"	"NACA"	"ITM2B"	"HTRA1"	"MT2A"	"EEF1G"	"SOX2"	"EEF1G"	"ZNF483"	"MT2A"	"DNM1"	"FCF1P1"	"NES"	"MEG3"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"KLC1"	"BCYRN1"	"PPP3CA"	"GPM6A"	0.927601786142186	"MTCO1P2"	"EEF1G"	"SNORA73B"	"SPTAN1"	"APOE"	"RPS7"	"HSP90AA1"	"CD63"	"AGT"	"DST"	"STMN2"	"RPL34"	"MT2A"	"SCARNA5"	"EEF2"	"IDS"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"NES"	"AKT3"	"GRIA2"	"CAMK2A"	0.830697597135129	"DNAJC19P8"	"MTCO1P2"	"SDC3"	"DYNLL1"	"ATRNL1"	"RPL21"	"OLIG1"	"AQP1"	"DPYSL3"	"MTURN"	"UBB"	"PRKACB"	"COX8A"	"BCYRN1"	"PLTP"	"EEF1G"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"GNAS"	"SNORD3A"	"GPM6A"	"HSPA1A"	0.824074074074074	"SNURF"	"KLC1"	"MARCKSL1"	"GRIA2"	"NACA"	"TUBA1B"	"CHN1"	"EGFR"	"DKK3"	"ENC1"	"MT2A"	"RTN1"	"ATRNL1"	"RPS2"	"ADCYAP1R1"	"SPTBN1"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
