"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"CSK.CSK"	"ATP6V0A1"	"SMARCB1"	"SMARCB1"	0.800887070702351	"AK2"	"ATP6V0A1"	"SDF4"	"DCTN1"	"SMARCB1"	"NDUFS5"	"PHYHIPL"	"TCF7L1"	"TSPYL4"	"GLIS2"	"NAGA"	"ANTXR1"	"MUL1"	"SNAP91"	"NR2F1"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"	"RAB11FIP4"
"PRPF6"	"GLIS2"	"NRAS"	"NRAS"	0.731805555555556	"CAPZA1"	"SYDE1"	"DVL1"	"APBB1"	"PRPF6"	"JPH3"	"GNG5"	"NFKBIL1"	"SZRD1"	"GABRA3"	"CADM4"	"CTIF"	"RNF187"	"FARSA"	"SART1"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"	"CCSER2"
"DCTN1"	"DDOST"	"TRAF7"	"PRPF6"	0.5715	"SCP2"	"RAB11FIP4"	"RER1"	"SMARCB1"	"GNG5"	"SYDE1"	"TFCP2"	"RND2"	"EVI5L"	"NRAS"	"SLC22A17"	"VASP"	"RAB11FIP4"	"KIF3C"	"SLC44A2"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"	"SCP2"
"GNG5"	"AK2"	"CSK"	"HEY1"	0.58867700810762	"TTLL12"	"DDOST"	"RERE"	"PRPF6"	"DCTN1"	"PTPN23"	"RAB11FIP4"	"FN3K"	"HEY1"	"MRPL10"	"GOLM1"	"TCF7L1"	"JPH3"	"TRAF7"	"NRSN1"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"	"DCTN1"
"ATP1A3"	"NFKBIL1"	"GNG5"	"GNG5"	0.556105177510295	"RER1"	"SLC39A1"	"FBXO44"	"GNAO1"	"CSK"	"PYGB"	"IMPDH2"	"FLII"	"TMED10"	"DUSP26"	"HINT3"	"PHYHIPL"	"SF3A1"	"SUCLG2"	"SOX2"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"	"ATP6V0A1"
"APBB1"	"RAB11FIP4"	"PRPF6"	"TRAF7"	0.537989777396085	"C11orf68"	"KDELR1"	"AGTRAP"	"SOX2"	"HEY1"	"RRS1"	"PTGES3P1"	"INA"	"MRPL10"	"PPP1R9B"	"PYGB"	"SYNGR1"	"MAPRE3"	"BRSK2"	"NFKBIB"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"PNRC2"
"HEY1"	"TOM1L2"	"MAPKAPK3"	"CSK"	0.501892283215908	"SLC22A17"	"NFKBIL1"	"SZRD1"	"ADCY5"	"TRAF7"	"TWF2"	"PNRC2"	"BCL2L2"	"AGTRAP"	"POLDIP3"	"RCOR2"	"DSCAML1"	"SPATS2L"	"TMX2"	"CRMP1"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"	"GTF2F1"
"MAPKAPK3"	"GOLM1"	"APBB1"	"GNAO1"	0.489825682937277	"MRPL10"	"DCTN1"	"CAPZB"	"SNAP91"	"NRAS"	"HEY1"	"SOX2"	"SYNGR1"	"SLC6A1"	"TMBIM1"	"RND2"	"SLC6A1"	"SYDE1"	"SYBU"	"SDF4"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"PCGF2"
"HADHA"	"RRS1"	"HEY1"	"SLC7A5"	0.420833333333333	"ABCD3"	"CASKIN2"	"MUL1"	"HEY1"	"GNAO1"	"KCNN2"	"MAPRE3"	"MUL1"	"RTN3"	"UBTF"	"MUL1"	"XAB2"	"MAPT"	"TMEM147"	"DCAKD"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"	"PRPF6"
"MUL1"	"SYDE1"	"GNAO1"	"SOX2"	0.393518518518519	"CDC42"	"EIF3I"	"DDOST"	"HADHA"	"APBB1"	"SLC7A5"	"PPP1R9B"	"CALN1"	"MAN2B1"	"EBF4"	"SPATS2L"	"CMTM3"	"OMG"	"DPP6"	"GPR173"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"	"MADD"
"TMED10"	"HNRNPUL2"	"MUL1"	"APBB1"	0.3735	"SRSF4"	"PTGES3P1"	"CDC42"	"KIF1A"	"SOX2"	"NTM"	"AP2B1"	"MARCKS"	"SLC7A5"	"GRAMD1B"	"CDK5R1"	"GPR173"	"LAMB2"	"PDCD5"	"DUSP26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C11orf68"
"GNAO1"	"DCTN1"	"VASP"	"DCTN1"	0.367574273547599	"NFKBIL1"	"PRPF6"	"PNRC2"	"SLC7A5"	"MUL1"	"SYBU"	"GNAZ"	"KIF1A"	"SCD"	"ADCY5"	"MAN2B1"	"ETHE1"	"NOL7"	"TMEM59L"	"RUNDC3A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MUL1"
"KIF1A"	"CAPZA1"	"ADCY5"	"CSF1R"	0.362453771472921	"TCF25"	"GLIS2"	"HMGN2"	"ALDH5A1"	"HADHA"	"TXNDC12"	"RRS1"	"VAX2"	"ECH1"	"SF3A2"	"CDC42BPB"	"GPX1"	"RRS1"	"TSPYL4"	"FCGRT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"UBE2E2"
"VASP"	"HIRIP3"	"DCTN1"	"MAPKAPK3"	0.334390803227426	"TMX2"	"CCSER2"	"RCC1"	"TRAF7"	"SLC7A5"	"ATP1A3"	"SPATS2L"	"EVI5L"	"EHD3"	"RRS1"	"HNRNPH2"	"NMNAT2"	"KIF3C"	"CELF5"	"NOL7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FARSA"
"ADCY5"	"ATAD1"	"ATP1A3"	"ATP1A3"	0.316458817502187	"DUSP26"	"HADHA"	"SRSF4"	"DLG4"	"VASP"	"MAP4"	"CDC42"	"PDCD5"	"HES6"	"DLG4"	"PODXL2"	"TMEM147"	"BRSK2"	"RNF187"	"PPP1R7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"POLDIP3"
"ATP9A"	"SOX2"	"GABRA3"	"MUL1"	0.293242629674912	"CAPZB"	"HIRIP3"	"KPNA6"	"YBX1"	"ADCY5"	"RAB14"	"SMARCB1"	"CASKIN2"	"CDK5R1"	"WASF1"	"JPH3"	"GLIS2"	"MAP4"	"SF1"	"FN3K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GRAMD1B"
"ALDH5A1"	"PRPF6"	"SLC7A5"	"HADHA"	0.28816011171783	"PTGES3P1"	"RRS1"	"EIF3I"	"RAB11FIP4"	"MAPKAPK3"	"SLC44A2"	"ALDH5A1"	"SERBP1"	"ALDH5A1"	"TMED10"	"CNPY4"	"RPL36AL"	"CMTM3"	"FAM168B"	"C11orf68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"VPS9D1"
"CAPZB"	"LAMB2"	"SOX2"	"TMED10"	0.294110098039216	"PRPF6"	"YBX1"	"AK2"	"MUL1"	"KIF1A"	"TCF7L1"	"CBX4"	"TMX2"	"CADM4"	"DCTN6"	"MAGEE1"	"MADD"	"EBF4"	"HEY1"	"AIP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SPOCK1"
"CD99L2"	"RER1"	"HADHA"	"VASP"	0.277777777777778	"PODXL2"	"SNAP91"	"PHC2"	"MARCKS"	"SNAP91"	"TMX1"	"ECSIT"	"SLC22A17"	"NTM"	"HADHA"	"RER1"	"ATXN7L3B"	"POLDIP3"	"ANGPTL2"	"TRIP6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SMARCB1"
"LCAT"	"HADHA"	"CD99L2"	"DLG4"	0.225615620567726	"CASKIN2"	"SZRD1"	"NDUFS5"	"GOLM1"	"CSF1R"	"ATL3"	"ECH1"	"RGS10"	"CDIP1"	"VPS9D1"	"ZNF703"	"NAP1L3"	"CASKIN2"	"UBE2E2"	"CNPY4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"POMGNT2"
"DSCAML1"	"GNAO1"	"CSF1R"	"ADCY5"	0.220243352254135	"RPF1"	"RND2"	"YBX1"	"EPB41L1"	"DLG4"	"CSK"	"BRSK2"	"NAP1L2"	"SPATA6"	"ADAM22"	"MAPKAPK3"	"MARCKS"	"MAPKAPK3"	"PQBP1"	"DPP6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CRMP1"
"YBX1"	"YBX1"	"TMED10"	"KIF1A"	0.207921099225154	"MOB1A"	"TMEM43"	"SPATA6"	"NRAS"	"ATP1A3"	"TMEM43"	"FARSA"	"LRRN1"	"SDF4"	"SCD"	"RAB14"	"VAX2"	"PQBP1"	"CDC42BPB"	"ECSIT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GPSM1"
"RPL36AL"	"CADM4"	"DSCAML1"	"GABRA3"	0.215466006518806	"HIRIP3"	"GNG5"	"TXNDC12"	"PHYHIPL"	"ALDH5A1"	"TXN2"	"RNF187"	"TRAF7"	"TMEM59L"	"LCAT"	"PHC2"	"RAB14"	"GNG5"	"ECH1"	"SMARCB1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HIRIP3"
"TRAF7"	"ADCY5"	"CAPZB"	"CAPZB"	0.123188405797101	"DNAJC12"	"MUL1"	"SCP2"	"IMPDH2"	"CAPZB"	"ECH1"	"RTN1"	"RCOR2"	"BRSK2"	"TCF7L1"	"PRPF6"	"ADCY5"	"AK2"	"APC2"	"ECH1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SF3A1"
"PHYHIPL"	"MAP4"	"KIF1A"	"SNAP91"	0.0856	"GNAO1"	"ANGPTL2"	"MRPL37"	"VASP"	"YBX1"	"BCL2L2"	"CD99L2"	"SPOCK1"	"LBH"	"RPL36AL"	"GPX1"	"TSPO"	"FLII"	"GRIPAP1"	"POLDIP3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SNAP91"
"CDC42"	"TMEM43"	"RPL36AL"	"ALDH5A1"	0.0784444444444445	"SF3A2"	"LAMB2"	"SERBP1"	"CUEDC2"	"GABRA3"	"CMTM6"	"VAX2"	"SUCLG2"	"BRINP1"	"MRPS16"	"SPATA6"	"RCOR2"	"RTN3"	"HINT3"	"ACTN4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SOX2"
"RTN1"	"CASKIN2"	"ATP9A"	"CD99L2"	0.0698709894286037	"KPNA6"	"SMARCB1"	"RPF1"	"BLCAP"	"DSCAML1"	"UBL7"	"UBTF"	"SRCIN1"	"NFKBIL1"	"OLFML3"	"ATP9A"	"GTF2F1"	"GPX1"	"MAN2B1"	"VPS9D1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PHYHIPL"
"GPX1"	"CCSER2"	"DLG4"	"UNC5A"	0.0685604444444445	"SMARCB1"	"SF3A2"	"GNG5"	"EIF3I"	"ATP9A"	"VASP"	"FOXRED2"	"ZNF703"	"PFKM"	"GPR173"	"SF3A2"	"MUL1"	"ADCY5"	"RRAS"	"MRPL37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HADHA"
"ACTN4"	"TXN2"	"UNC5A"	"ATP9A"	0.0630016332524504	"RRS1"	"VAX2"	"PTGES3P1"	"RTN1"	"TMED10"	"DNER"	"RER1"	"SF3A1"	"LRRN1"	"RER1"	"CCSER2"	"LRRN1"	"PHC2"	"TCF7L1"	"GABRA3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PODXL2"
"CRMP1"	"DNAJC12"	"SNAP91"	"HEY2"	0.0614	"SNX7"	"LCAT"	"ABCD3"	"CSK"	"HEY2"	"SPOCK1"	"CAPZA1"	"HADHA"	"RAB14"	"SLC6A1"	"ADAM22"	"CDIP1"	"CNPY4"	"FN3K"	"SPTBN2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"UBQLN4"
