"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ZBTB16.ZBTB16"	"VEGFD"	"ZBTB16"	"ZBTB16"	1	"COL10A1"	"CAV1"	"PDK4"	"BUB1B"	"BUB1B"	"HMMR"	"FGFBP2"	"HMMR"	"KIF26B"	"CKAP2L"	"GJB2"	"HIF3A"	"PRAME"	"COMP"	"PCOLCE2"	"SLC24A2"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"KCNK3"	"MMP13"	"HOXC13"	"KCNK3"	1	"VEGFD"	"VEGFD"	"ANLN"	"TOP2A"	"TOP2A"	"LAMP5"	"IGSF10"	"CNTD2"	"AP001542.1"	"SPP1"	"AQP4"	"SFTPA2"	"PIGR"	"CEP55"	"PI16"	"CTHRC1"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"NKX2.1"	"ASPM"	"HOXC11"	"TOP2A"	0.968253968253968	"CA4"	"MMP11"	"ATP1A2"	"MMP11"	"SSTR1"	"BIRC5"	"MME"	"CDC20"	"SLC19A3"	"PCLAF"	"SCN7A"	"SLC34A2"	"CDCA2"	"CTHRC1"	"KLF15"	"COL10A1"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"WIF1"	"CST1"	"TOP2A"	"HOXC11"	0.92037037037037	"MMP11"	"GPIHBP1"	"MARCO"	"VEGFD"	"VEGFD"	"AURKB"	"KIF20A"	"COL10A1"	"ABCA8"	"MARCO"	"COL6A6"	"MME"	"GPIHBP1"	"GPR17"	"PLPP4"	"LINC01705"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"SSTR1"	"MME"	"SCN7A"	"SSTR1"	0.91469585260771	"GPIHBP1"	"BTNL9"	"SYT13"	"SSTR1"	"MMP11"	"MMP13"	"CLDN5"	"CSF3"	"ADM2"	"EXO1"	"CDCA2"	"CCN4"	"PITX1"	"ZBTB16"	"FOXM1"	"COL11A1"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"TUBB3"	"BTNL9"	"WIF1"	"SLC34A2"	0.928571428571429	"CAV1"	"CA4"	"FHL1"	"PLK1"	"TUBB3"	"AC093895.2"	"INMT"	"TPX2"	"SFTA2"	"AP001542.1"	"LYVE1"	"KIF26B"	"SCARA5"	"CAV1"	"PBK"	"MMP11"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"BUB1B"	"KIF26B"	"BUB1B"	"WIF1"	0.930041152263374	"BTNL9"	"COL10A1"	"DEPDC1"	"HMMR"	"PLK1"	"PRAME"	"CILP2"	"LYVE1"	"CENPA"	"KCNK3"	"SPP1"	"NEK2"	"FMO2"	"C4BPA"	"LINC01705"	"CCN4"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"HOXC11"	"SLC24A2"	"SLC34A2"	"BUB1B"	0.915343915343915	"KIF26B"	"UHRF1"	"IBSP"	"FOXM1"	"CLDN5"	"FHL1"	"HOTAIR"	"AQP4"	"SPP1"	"AC096531.2"	"AP001542.1"	"ADRB1"	"GSTA1"	"COL10A1"	"TTK"	"SYNDIG1"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"TOP2A"	"SCARA5"	"KCNK3"	"TUBB3"	0.909722222222222	"CLEC3B"	"SLC24A2"	"MYOC"	"TUBB3"	"MYH11"	"COMP"	"NDC80"	"MYH11"	"TMEM100"	"NCAPG"	"TRHDE"	"C4BPA"	"OVCH2"	"CXCL3"	"TFAP2A"	"AC134312.5"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"SLC34A2"	"ARC"	"EXO1"	"MMP3"	0.903703703703704	"SLC24A2"	"COL11A1"	"DEPDC1B"	"TPX2"	"FOXM1"	"SCARA5"	"CAVIN2"	"CAVIN2"	"PLPP4"	"CST1"	"CR381670.1"	"COL10A1"	"PBK"	"AGER"	"EEF1A2"	"LINC01614"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
