"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"KNL1.KNL1"	"CAVIN2"	"TUBB3"	"TUBB3"	0.875	"CD300LG"	"CAVIN2"	"PDK4"	"KNL1"	"TUBB3"	"RBP4"	"KLF15"	"MS4A15"	"TNXB"	"H4C3"	"NUF2"	"SKA3"	"ABCA8"	"HMMR"	"KLK6"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"	"SLC24A2"
"POLQ"	"E2F8"	"ROS1"	"ROS1"	0.25	"ITIH5"	"CD300LG"	"ANLN"	"TUBB3"	"KNL1"	"ROS1"	"POLQ"	"H2AC20"	"KLF15"	"AC019117.2"	"MYOC"	"CENPF"	"FOXI1"	"NEK2"	"FMO2"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"	"CST1"
"HLF"	"LINC01705"	"KNL1"	"KNL1"	0.270085782060126	"NAT8L"	"MMP11"	"ATP1A2"	"POLQ"	"ROS1"	"OGN"	"DLGAP5"	"AKR1B15"	"ATP1A2"	"CCL21"	"SPC24"	"G0S2"	"PTTG1"	"CKAP2L"	"ANGPTL7"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"	"AC044784.1"
"MELK"	"MS4A15"	"POLQ"	"POLQ"	0.104660964133653	"ECRG4"	"ITIH5"	"FHL1"	"HLF"	"HLF"	"ID4"	"PPEF1"	"SIM1"	"OR2B6"	"BUB1"	"NUSAP1"	"RN7SL3"	"SIM1"	"CRABP1"	"MKI67"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"	"FABP7"
"MMP11"	"ADH1C"	"HLF"	"HLF"	0.0690918781778092	"CAV1"	"ECRG4"	"IBSP"	"MELK"	"MELK"	"CLPSL2"	"ERCC6L"	"KRT6B"	"LINC01561"	"AC134312.5"	"PTTG1"	"BTNL9"	"RN7SL5P"	"CCL21"	"KCNJ16"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"	"IBSP"
"VEGFD"	"TDO2"	"MYH11"	"MYH11"	0.0462776736137206	"AP001528.2"	"ERCC6L"	"MYOC"	"HJURP"	"POLQ"	"KIF14"	"HLF"	"FREM1"	"ALKAL2"	"COL11A1"	"CFD"	"KRT6B"	"NAT8L"	"GPIHBP1"	"KIF4A"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"	"COL11A1"
"HJURP"	"AC112721.2"	"CNTNAP2"	"CNTNAP2"	0.0428	"ACKR1"	"KNL1"	"DEPDC1B"	"MYH11"	"MMP11"	"PPEF1"	"GDF10"	"COL6A5"	"FABP7"	"MMP13"	"ACKR1"	"LHFPL5"	"SCN4B"	"SKA3"	"H1.4"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"	"GNG13"
"G0S2"	"ECRG4"	"WIF1"	"MELK"	0.0318698640088638	"CAVIN2"	"NEIL3"	"ROS1"	"ITIH5"	"MYH11"	"TMEM132C"	"MS4A8"	"AC134312.5"	"HAPLN1"	"H1.4"	"CARMN"	"MARCHF4"	"CAV1"	"UBE2C"	"UHRF1"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"	"MMP11"
"ID4"	"AP001528.2"	"MELK"	"WIF1"	0.0275889394745801	"GPIHBP1"	"AP001528.2"	"POLQ"	"MMP11"	"CAV1"	"GDF10"	"CAVIN2"	"ADH1B"	"EDN3"	"TUBB3"	"CYP2B7P"	"CA4"	"ATP1A2"	"DTL"	"WIF1"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"	"PPEF1"
"PCOLCE2"	"NAT8L"	"COL11A1"	"MMP11"	0.0266941468660539	"MS4A15"	"KIF4A"	"COL11A1"	"CAV1"	"WIF1"	"AP001528.2"	"WDR62"	"AC019117.2"	"CLSPN"	"HMGCS2"	"GPX3"	"FOXI1"	"BTNL9"	"HSD17B13"	"HIF3A"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"	"MYT1"
"ABCA8"	"MMP1"	"MMP11"	"CAV1"	0.0244188802609876	"ADH1C"	"CKAP2L"	"ASPM"	"MMP13"	"HJURP"	"ABCA10"	"VEGFD"	"TOP2A"	"MMP1"	"NPR1"	"H1.4"	"CAVIN2"	"GNG13"	"FOXJ1"	"NEK2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HMGCS2"
"CAVIN2"	"ERCC6L"	"CAV1"	"HJURP"	0.0218949966628386	"LINC01614"	"ADAM33"	"PITX1"	"ADAM33"	"MMP1"	"G0S2"	"IGSF10"	"FXYD1"	"AP001528.2"	"SIM1"	"HOXA10"	"ESCO2"	"ESCO2"	"CES1"	"RRM2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADH1C"
