"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SALL4.SALL4"	"SALL4"	"SALL4"	"SALL4"	1	"KRT80"	"COL11A1"	"HSPB6"	"SALL4"	"CHRDL1"	"MMP3"	"CLEC3B"	"AC021218.1"	"TMEM82"	"FEZF1.AS1"	"TRIM29"	"KIF26B"	"SOX14"	"REG1B"	"ETV4"	"GRIN2D"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"POU5F1B"	"MAMDC2"	"PHOX2B"	"RSPO2"	0.892989854027574	"SALL4"	"CDH3"	"PRSS22"	"RSPO2"	"CXCL5"	"LINC00858"	"CLDN8"	"CHI3L1"	"DPP10.AS1"	"PRPH"	"ZIC2"	"CXCL8"	"PYY"	"LYPD8"	"CDH3"	"MSX2"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"RSPO2"	"ESM1"	"SCN7A"	"SCN7A"	0.878048780487805	"BEST4"	"SALL4"	"SLC13A2"	"ETV4"	"KRT23"	"CPNE7"	"CRNDE"	"BEST4"	"EDN3"	"AQP8"	"CXCL5"	"SCG3"	"ADAM12"	"AC123023.1"	"SALL4"	"WNT2"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"SCN7A"	"CDH3"	"RSPO2"	"ETV4"	0.848484848484849	"ABCA8"	"TRIB3"	"CEACAM7"	"SCN7A"	"KRT24"	"NPTX1"	"PRSS22"	"SCNN1B"	"MS4A10"	"CCN5"	"LGI1"	"CGREF1"	"CLCA1"	"LYVE1"	"RSPO2"	"KRT80"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"ETV4"	"FEV"	"FEV"	"POU5F1B"	0.829545454545455	"SPIB"	"CEMIP"	"DPEP1"	"CDH3"	"STRA6"	"KRT80"	"CA4"	"PLIN4"	"FABP1"	"SCGN"	"CHRDL1"	"LARGE2"	"MEP1B"	"CA4"	"LYVE1"	"MYOC"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"MYH11"	"BEST4"	"ETV4"	"MYH11"	0.665274654705628	"CA7"	"WNT2"	"CLCA1"	"CEACAM7"	"CDH19"	"ETV4"	"PLP1"	"PCOLCE2"	"CD177P1"	"ADH1C"	"PLAC4"	"SEMA3E"	"GREM2"	"PRPH"	"CEMIP"	"FEZF1.AS1"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"CDH3"	"KRT80"	"POU5F1B"	"PHOX2B"	0.618827343515683	"ASPA"	"LGI1"	"CLCA4"	"PHOX2B"	"CLDN2"	"MMP7"	"C7"	"LYPD8"	"GUCA2A"	"STUM"	"LINC02163"	"SLC26A3"	"OTX1"	"DPT"	"MMP7"	"EPHX4"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"PHOX2B"	"MS4A10"	"MYH11"	"CEACAM7"	0.642857142857143	"ESM1"	"RERGL"	"ATP1A2"	"POU5F1B"	"TCN1"	"ZIC2"	"REG3A"	"TRIM29"	"PLP1"	"SALL4"	"RPL41P1"	"CLDN8"	"TRARG1"	"CA9"	"PHOX2B"	"CDH3"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"CEACAM7"	"ASPA"	"SLC6A19"	"NKD2"	0.595259680856883	"CLEC3B"	"INHBA"	"MYOC"	"FEV"	"B3GNT7"	"CLDN2"	"CADM3"	"SST"	"RSPO2"	"SLC25A34"	"CST2"	"KRT24"	"HEPACAM2"	"ANGPTL7"	"CLDN1"	"SIM2"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"NKD2"	"AL109615.3"	"NKD2"	"CDH3"	0.557141165347557	"SCGN"	"MMP7"	"USP2"	"MYH11"	"CST2"	"CGREF1"	"SLC4A4"	"CA4"	"C11orf86"	"MSX2"	"KRT80"	"GBA3"	"DPT"	"CILP"	"GRIN2D"	"CPNE7"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
"FEV"	"RSPO2"	"ACAN"	"FEV"	0.5	"ETV4"	"ESM1"	"BEST2"	"ACAN"	"RIMS4"	"AC124319.1"	"ADH1C"	"KIF26B"	"HEPACAM2"	"STK31"	"BEST2"	"TG"	"IGHV2.5"	"PRSS2"	"FEV"	"LINC02418"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGF19"	"CA7"	"TRARG1"	"LYVE1"	0.474868434298694	"GCNT2"	"KLK6"	"TG"	"NKD2"	"AQP8"	"SLC4A4"	"GREM2"	"ASPA"	"KRT6B"	"MMP1"	"AL161431.1"	"B4GALNT2"	"PKP1"	"IGHA2"	"ABCG2"	"C6orf223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LYVE1"	"WNT2"	"CEACAM7"	"TESC"	0.471130715106593	"OTOP2"	"KRT80"	"ZIC2"	"LYVE1"	"OTOP2"	"AC005089.1"	"B4GALNT2"	"TMEM72"	"REG1B"	"SCNN1B"	"ESM1"	"IL11"	"GCNT2"	"SLC26A3"	"SCN7A"	"SLC26A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ACAN"	"SCARA5"	"PIRT"	"ACAN"	0.466640508992434	"WNT2"	"VSTM2A"	"GUCA2B"	"KIF26B"	"TRIM29"	"HSPB6"	"GBA3"	"KIF1A"	"GPM6A"	"TG"	"REG1A"	"MT1M"	"MSX2"	"BEST4"	"ESM1"	"DDN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TESC"	"CLEC3B"	"BRINP3"	"FGF19"	0.457990127615162	"INHBA"	"ETV4"	"COL11A1"	"TESC"	"ABCG2"	"PRPH"	"SFTA2"	"FGF19"	"SLC4A4"	"GBA3"	"TCEAL2"	"CNR1"	"PRPH"	"C7"	"MYH11"	"ADAMTS12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
