"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SLC4A1.SLC4A1"	"AQP2"	"SLC4A1"	"SLC4A1"	1	"PTGER1"	"AQP2"	"SLC4A1"	"AQP2"	"AQP2"	"STRA6"	"ADAMDEC1"	"ADH1C"	"ADAM18"	"CRHBP"	"CRHBP"	"DUSP9"	"SLC12A1"	"LINC02437"	"DDN"	"PTGER1"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"GABRA2"	"AL391845.2"	"CASR"	"CASR"	1	"AQP2"	"ACPP"	"PRSS22"	"UMOD"	"CLDN19"	"CHRDL1"	"PTGER3"	"MAB21L4"	"NPTX2"	"AC011352.3"	"CALML3"	"AC122134.1"	"PNCK"	"SLC4A9"	"CASR"	"TFAP2B"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"CALCA"	"SDS"	"SLC12A3"	"ATP6V0A4"	0.993055555555556	"SFRP1"	"UMOD"	"SLC13A2"	"CDKN2A"	"SCNN1G"	"ALDOB"	"MT1G"	"C5orf46"	"KISS1R"	"SPTBN2"	"CHRDL1"	"VTCN1"	"HS3ST2"	"SIM2"	"OLFM4"	"GABRA2"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"CDKN2A"	"SFRP1"	"SLC12A1"	"CLDN16"	0.984934086629002	"UMOD"	"CLDN19"	"TFAP2B"	"PTGER1"	"UMOD"	"TDGF1"	"ACPP"	"AC019117.3"	"SIGLEC8"	"CALB1"	"TUBAL3"	"SLC12A1"	"SCNN1G"	"ERVE.1"	"ATP6V1B1"	"SCNN1G"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"CLDN19"	"FBN3"	"ATP6V0A4"	"NPHS2"	0.982758620689655	"TFAP2B"	"DUSP9"	"IYD"	"SLC12A1"	"PTGER1"	"AC011352.3"	"CPN2"	"ALDOB"	"CALCA"	"TMEM52B"	"SCN7A"	"PTPRQ"	"CALML3"	"BSND"	"BSND"	"EHF"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"PLG"	"TMEM238L"	"CALCA"	"ALDOB"	0.971830985915493	"SLC12A1"	"SCNN1G"	"ACPP"	"KCNJ1"	"CDKN2A"	"ACOT12"	"LINC01020"	"CASR"	"GRIK3"	"TDGF1"	"AC112243.1"	"LINC01762"	"ACPP"	"KLK1"	"SLC26A7"	"SLC6A3"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"LMX1B"	"ADAM18"	"CLDN16"	"SLC6A3"	0.955882352941177	"KCNJ1"	"SLC12A1"	"DPEP1"	"KCNJ10"	"KCNJ10"	"SLC7A13"	"OLFM4"	"ADH1B"	"IRX2"	"MYO3B"	"MAB21L4"	"AQP2"	"TUBAL3"	"AC025154.2"	"TCEAL2"	"BRINP3"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"CA9"	"CDKN2A"	"ATP6V1B1"	"CDKN2A"	0.954531145450413	"RASL11B"	"RASL11B"	"CNTN1"	"SLC12A3"	"KCNJ1"	"DMRT2"	"KCNJ10"	"LINC01077"	"FGF9"	"PTPRN"	"F11.AS1"	"SERPINA5"	"DIO1"	"MAB21L4"	"FABP1"	"TMPRSS4"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"ATP6V1B1"	"ITGAD"	"NPHS2"	"KCNJ1"	0.946875	"CLDN19"	"SFRP1"	"INSRR"	"SCNN1G"	"SLC12A1"	"HPD"	"AL096799.1"	"MT1H"	"RANBP3L"	"CLCNKA"	"CLDN19"	"AC124017.1"	"NDNF"	"PAH"	"NUPR2"	"SCN7A"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"COL4A6"	"AC087045.3"	"PLG"	"SCNN1G"	0.936213991769547	"TMEM238L"	"PTGER1"	"CASR"	"CLDN19"	"ATP6V0A4"	"CASR"	"FABP1"	"GPC5"	"ATP6V0A4"	"SLC22A6"	"GRIK3"	"AC011352.1"	"PLA2G7"	"C5orf46"	"NPTX2"	"CA9"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
