"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"EPHA3.EPHA3"	"INPP5J"	"PRDM16"	"PRDM16"	0.760684770600251	"AC138409.1"	"INPP5J"	"HECW1"	"PRDM16"	"PRDM16"	"Z98751.2"	"PKLR"	"DPYS"	"TMEM213"	"GGT6"	"FABP7"	"RNU5B.1"	"NIPA2P1"	"ATP6V0A4"	"AC015910.1"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"	"LINC02747"
"BHLHE41"	"GABRD"	"EPHA3"	"EPHA3"	0.758978472222222	"RNU5A.1"	"GABRD"	"SLC4A1"	"CA9"	"CA9"	"KISS1R"	"SORCS1"	"PRDM16"	"SERPINE2"	"PIP"	"TRBV2"	"SCD5"	"AC010655.2"	"ST8SIA4"	"RNY1"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"	"KISS1R"
"IDO1"	"GPR182"	"TUBB4A"	"TUBB4A"	0.756618909008052	"KCNQ1OT1"	"CDCA2"	"SLC13A2"	"PCSK6"	"EPHA3"	"AP005233.2"	"IL21R"	"SCN4B"	"AC138409.1"	"PHYHIPL"	"AC087045.3"	"SCNN1B"	"ANGPT2"	"SCN4B"	"SCN4B"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"	"NPTX2"
"MYEOV"	"CARMN"	"SLC34A2"	"SLC34A2"	0.711805555555556	"SNORA49"	"OSTM1.AS1"	"IYD"	"EPHA3"	"PCSK6"	"FGF9"	"TNFAIP6"	"DLX5"	"PHYHIPL"	"HILPDA"	"RNY1"	"LINC02542"	"PHYHIPL"	"PCSK6"	"AC016571.1"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"	"SLC6A3"
"ANGPT2"	"IRX1"	"CA9"	"CA9"	0.298101361111111	"GSN.AS1"	"CSPG4"	"SYT7"	"IDO1"	"TUBB4A"	"AC022509.1"	"KCNMA1.AS1"	"IYD"	"TRAV13.1"	"VIL1"	"GGT6"	"NDNF"	"PTGER3"	"TMEM252"	"AC007342.5"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"	"CA9"
"NPTX2"	"C5orf46"	"PCSK6"	"PCSK6"	0.0334	"MIR3609"	"CA9"	"SLC7A9"	"TUBB4A"	"TMPRSS2"	"AL096711.2"	"GDF6"	"OSTM1.AS1"	"PRRX1"	"SNAP25"	"RNU6.35P"	"SYT7"	"NDNF"	"MAPK4"	"SLC5A12"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"	"FABP7"
"CA9"	"PTGER3"	"IL21R"	"IL21R"	0.0300092606092289	"RNU1.14P"	"AL391845.2"	"INSRR"	"IL21R"	"SLC34A2"	"CA9"	"GJB1"	"AC138409.1"	"TMEM155"	"RNU6.117P"	"INPP5J"	"CTHRC1"	"INSRR"	"AL391845.2"	"PRDM16"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"	"AC114803.1"
"SLC13A2"	"AC068299.2"	"TMPRSS2"	"TMPRSS2"	0.0188	"CARMN"	"PTGER3"	"VCAN"	"TMPRSS2"	"IDO1"	"GJB1"	"SEMA3B.AS1"	"CSPG4"	"SYT14"	"TRBV3.1"	"SLC5A3"	"FAXC"	"AC015910.1"	"KIF6"	"AL358216.1"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"	"SLC6A20"
"SLC34A2"	"AL365181.2"	"BHLHE41"	"BHLHE41"	0.000874999999999959	"CA9"	"AL365181.2"	"ADRB1"	"BHLHE41"	"IL21R"	"CXCL5"	"NIPA2P1"	"TRBV3.1"	"AC116345.1"	"TMPRSS2"	"IYD"	"PROM2"	"ARSF"	"PAPPA"	"NIPA2P1"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"	"LINC01077"
"HECW1"	"AC087045.3"	"IDO1"	"IDO1"	0	"TMSB4XP8"	"OLFML2A"	"EPHA3"	"MYEOV"	"BHLHE41"	"APOLD1"	"AL096799.1"	"SLC6A3"	"SLC5A3"	"C3orf67"	"RNU5A.1"	"TRBV4.1"	"AL391845.2"	"LINC02802"	"RNU6.35P"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"	"OSTM1.AS1"
"SLC4A1"	"OSTM1.AS1"	"MYEOV"	"MYEOV"	0	"AC016571.1"	"C5orf46"	"CP"	"ANGPT2"	"MYEOV"	"NIPA2P1"	"TRBV4.1"	"HILPDA"	"AL096711.2"	"CP"	"CXCL5"	"SLC6A20"	"TMEM72"	"MAL"	"AC103563.7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PPDPFL"
"IYD"	"SLC5A3"	"PRRX1"	"PRRX1"	0	"RNU5B.1"	"HSD11B2"	"ANO2"	"SLC34A2"	"ANGPT2"	"NPTX2"	"AC116345.1"	"CHSY3"	"PROM2"	"FGF9"	"AC022898.2"	"LINC02783"	"SCNN1A"	"CFAP74"	"AL161773.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FABP6"
"SYT7"	"AL391845.2"	"ANGPT2"	"ANGPT2"	0	"RNY1"	"TMEM155"	"EPN3"	"FABP7"	"PRRX1"	"SLC34A2"	"PCSK6"	"NXPH4"	"PCSK6"	"ZNF209P"	"Z98751.2"	"AC022509.1"	"EPN3"	"UNC5B"	"PLA2G4F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AL109615.1"
