"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"PTPRC.PTPRC"	"PPP2R5C"	"PTPRC"	"PTPRC"	1	"STAB1"	"SREK1IP1"	"ABHD11"	"TUBA1B"	"SRC"	"RABEPK"	"RHOB"	"SHCBP1"	"VPS35L"	"BCL2L13"	"CLU"	"HPRT1"	"KCNJ15"	"CNPY2"	"IST1"	"TUBA1B"	"EGFR"	"EGFR"	"AKT1"	"TP53"	"EGFR"	"EGFR"	"VEGFA"	"APOE"
"PPP2R5C"	"EEF1A1"	"PPP2R5C"	"PPP2R5C"	1	"GSN"	"FGD2"	"PTPRC"	"RAC1"	"PPP2R5C"	"FOXJ2"	"KRAS"	"SMC1A"	"CAST"	"UBE3C"	"WIPI1"	"ATP6V1H"	"PPP2R5C"	"RASGRP1"	"ACAT1"	"SF1"	"MTHFR"	"MTHFR"	"MTHFR"	"AKT1"	"APOE"	"IL6"	"MTHFR"	"IL6"
"TXNRD1"	"RPS15"	"CTNNB1"	"TXNRD1"	1	"PHF20L1"	"DENND4A"	"HIPK1"	"RHEB"	"PTPRC"	"IRAK1"	"B4GALT4"	"CYB5R1"	"RNF144A"	"TSPAN3"	"FUS"	"STRAP"	"TAB2"	"CD74"	"RCC1L"	"SEPTIN7"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"MTHFR"	"ESR1"	"VEGFA"
"KAT6A"	"PABPC1"	"BRD3"	"KAT6A"	0.994031221303949	"IST1"	"PHF20L1"	"JMJD6"	"DDX3X"	"KAT6A"	"HSD17B12"	"KCNJ15"	"PUM3"	"PRCP"	"CYP4F3"	"IST1"	"CLU"	"ZNF493"	"CYP4F3"	"EIF4G2"	"MACROH2A1"	"VEGFA"	"IL6"	"ESR1"	"IL6"	"MTHFR"	"ESR1"	"APOE"	"MTHFR"
"IKZF1"	"DDX3X"	"SMC1A"	"IKZF1"	0.991279069767442	"PSIP1"	"DYNLRB1"	"SLC4A1"	"ROCK1"	"IKZF1"	"SNRPB2"	"RPS9"	"ATF3"	"CYREN"	"ABI1"	"ACTL6A"	"COPA"	"ECT2"	"SLC4A1"	"HOXA5"	"NUMA1"	"APOE"	"AKT1"	"IL6"	"EGFR"	"TP53"	"AKT1"	"TP53"	"ESR1"
"SRC"	"MACROH2A1"	"PLCG2"	"SRC"	0.989430894308943	"PRCP"	"SUV39H2"	"SEC62"	"ABI1"	"CTNNB1"	"RUVBL2"	"MCTS1"	"CYREN"	"GIMAP4"	"PUM3"	"EEF1A1"	"GSN"	"SLC25A28"	"LCN2"	"ABI1"	"C11orf58"	"AKT1"	"APOE"	"TP53"	"APOE"	"ESR1"	"TP53"	"EGFR"	"EGFR"
"CTNNB1"	"CBY1"	"DDX3X"	"CTNNB1"	0.984085648148148	"TAB2"	"ASAH1"	"STMN1"	"SRC"	"FUS"	"VPS35L"	"SOX4"	"CCSER2"	"CRISP3"	"HIRA"	"TNPO1"	"RNF144A"	"IRAK1"	"NCOA6"	"SREK1IP1"	"RAC1"	"TP53"	"ESR1"	"EGFR"	"ESR1"	"AKT1"	"VEGFA"	"IL6"	"TP53"
"FUS"	"ASAH1"	"SRC"	"FUS"	0.982942430703625	"EMID1"	"SF1"	"ANGPT1"	"PABPC1"	"PLCG2"	"HOXA5"	"TECR"	"PIAS2"	"CMPK1"	"PPP2R5C"	"PMS1"	"KIF23"	"ATP5PD"	"COL1A1"	"SOX4"	"RPS15"	"ESR1"	"VEGFA"	"VEGFA"	"VEGFA"	"IL6"	"APOE"	"AKT1"	"AKT1"
"PLCG2"	"TUBA1B"	"SF3B2"	"PLCG2"	0.967054263565891	"CBY1"	"RHEB"	"ZMYM6"	"MACROH2A1"	"CD74"	"PRCP"	"SRC"	"PSIP1"	"NDUFA10"	"HEATR1"	"SLC4A1"	"PTPN18"	"HEATR1"	"CMTM6"	"EEF1A1"	"DDX3X"	NA	NA	NA	NA	NA	NA	NA	NA
"CD74"	"DIAPH1"	"KAT6A"	"CD74"	0.940613026819923	"LITAF"	"RNASET2"	"LUZP1"	"PRCP"	"CCNC"	"SLC4A1"	"TXNDC9"	"SUPT6H"	"RPS24"	"SUPT6H"	"APP"	"LRRC59"	"MDN1"	"PRMT1"	"LRRC59"	"PABPC1"	NA	NA	NA	NA	NA	NA	NA	NA
"ABI1"	"RPS9"	"KRAS"	"ABI1"	0.933333333333333	"SREK1"	"COL1A1"	"SREK1IP1"	"CCNC"	"ABI1"	"WTAP"	"TNPO1"	"MME"	"AREG"	"ANXA3"	"HSD17B4"	"VPS35"	"FKBP15"	"GIMAP4"	"ELOVL5"	"ASAH1"	NA	NA	NA	NA	NA	NA	NA	NA
"KRAS"	"HBB"	"ABI1"	"KRAS"	0.934995112414467	"HPRT1"	"SRC"	"KIAA1109"	"FGD2"	"KRAS"	"NDUFA10"	"GOSR1"	"ZDHHC14"	"CHI3L1"	"ACTL6A"	"TACC1"	"SF1"	"MAP3K19"	"USP25"	"SLC4A1"	"CMTM6"	NA	NA	NA	NA	NA	NA	NA	NA
"CCNC"	"DNAJC2"	"BTG1"	"CCNC"	0.931818181818182	"MACROH2A1"	"ZNF493"	"HECTD4"	"PSMD6"	"PSIP1"	"USP25"	"EMID1"	"AREG"	"MACROH2A1"	"SCPEP1"	"PIAS2"	"VRK3"	"HIRA"	"UBR4"	"NKTR"	"RPS9"	NA	NA	NA	NA	NA	NA	NA	NA
"PSIP1"	"SUV39H2"	"TXNRD1"	"PSIP1"	0.927089026638032	"ALG5"	"CLTA"	"FGD2"	"TCEA1"	"CCND3"	"LITAF"	"TBC1D1"	"HECTD4"	"ABHD5"	"VPS35L"	"KAT6A"	"STAB1"	"ZDHHC14"	"SUZ12"	"ERAP2"	"ABI1"	NA	NA	NA	NA	NA	NA	NA	NA
"BTG1"	"ATP6V1H"	"CCND3"	"BTG1"	0.925518925518926	"VPS13D"	"PABPC1"	"RHOB"	"NUMA1"	"SMC1A"	"LEPROT"	"ABHD5"	"WTAP"	"WIPI2"	"SUV39H2"	"NCOA6"	"MTREX"	"TXNRD1"	"SUPT6H"	"UBA1"	"EEF1A1"	NA	NA	NA	NA	NA	NA	NA	NA
"SUZ12"	"FGD2"	"DDX10"	"SUZ12"	0.911805555555556	"LRRC59"	"HBB"	"TRIM37"	"CBY1"	"RAC1"	"KAT6A"	"TOR1AIP1"	"MEX3C"	"SEC62"	"SNRPB2"	"PSIP1"	"HOXA5"	"DOCK2"	"DMAC2"	"CLU"	"DNAJC2"	NA	NA	NA	NA	NA	NA	NA	NA
"CCND3"	"RAC1"	"FUS"	"CCND3"	0.904411764705882	"SUPT6H"	"RNF130"	"TXNDC9"	"RAP1A"	"BRD3"	"BTG3"	"ANXA3"	"SREK1"	"HSD17B12"	"SEC62"	"PSMD6"	"PGLS"	"PIAS2"	"PHF20L1"	"HERPUD1"	"TMED5"	NA	NA	NA	NA	NA	NA	NA	NA
"SMC1A"	"PSMD6"	"IKZF1"	"SMC1A"	0.876862745098039	"RAC1"	"ATP5PO"	"CNOT1"	"IKZF1"	"DDX3X"	"AKR1C1"	"TMED5"	"UBE3C"	"SNRPB2"	"ATP5PD"	"TXNRD1"	"PHF20L1"	"SCPEP1"	"PGLS"	"TXNRD1"	"FGD2"	NA	NA	NA	NA	NA	NA	NA	NA
"RAC1"	"C11orf58"	"SUZ12"	"RAC1"	0.870355184276939	"FKBP15"	"GSN"	"HSD17B12"	"ATP5F1A"	"TXNRD1"	"DMAC2"	"GIMAP4"	"ABHD5"	"MKNK1"	"CLK4"	"TUBA1B"	"CALCOCO2"	"CNPY2"	"SOX4"	"STMN1"	"TCEA1"	NA	NA	NA	NA	NA	NA	NA	NA
"DDX10"	"COL1A1"	"CD74"	"DDX10"	0.857456140350877	"RNF130"	"PRMT1"	"CCSER2"	"TRIM37"	"BTG1"	"LCN2"	"PGD"	"C12orf49"	"CTNNB1"	"HINT1"	"AHNAK"	"RPS9"	"PNN"	"DIAPH1"	"GGNBP2"	"ROCK1"	NA	NA	NA	NA	NA	NA	NA	NA
"BRD3"	"IKZF1"	"CCNC"	"BRD3"	0.839583333333333	"NUMA1"	"HPRT1"	"ZMYND11"	"SF1"	"SUZ12"	"MIA3"	"VIM"	"LEPROT"	"TOR1AIP1"	"RHOB"	"RSU1"	"TSPAN3"	"UBE3C"	"CMAHP"	"SMC1A"	"RHEB"	NA	NA	NA	NA	NA	NA	NA	NA
"DDX3X"	"TMED5"	"PSIP1"	"DDX3X"	0.825396825396825	"SLC11A1"	"CMTM6"	"FAM53B"	"DIAPH1"	"DOCK2"	"SUV39H2"	"DYNLRB1"	"DSE"	"FPR2"	"SAMHD1"	"BTRC"	"USPL1"	"ATP6V1H"	"RPS9"	"TMEM126B"	"DIAPH1"	NA	NA	NA	NA	NA	NA	NA	NA
"SF3B2"	"CLTA"	"RAC1"	"SF3B2"	0.810606060606061	"ZDHHC14"	"SEPTIN7"	"ERAP2"	"POLR2B"	"NUMA1"	"WIPI2"	"PUM3"	"C11orf58"	"HEATR1"	"FBXO9"	"TXNDC9"	"METTL17"	"COX10"	"PPP2R3C"	"RUBCN"	"LRRC59"	NA	NA	NA	NA	NA	NA	NA	NA
"DOCK2"	"ALG5"	"DOCK2"	"DOCK2"	0.747201058985786	"PNN"	"TCEA1"	"SUPT6H"	"DOCK2"	"DDX10"	"HNRNPC"	"MIA3"	"SYF2"	"RASGRP1"	"POLR2B"	"CLEC2B"	"PRCP"	"SLC11A1"	"DDX42"	"KCNJ15"	"PSMD6"	NA	NA	NA	NA	NA	NA	NA	NA
"NUMA1"	"ATP5F1A"	"NUMA1"	"NUMA1"	0.719994409270056	"TBC1D1"	"CD74"	"PGLS"	"FUS"	"SF3B2"	"ZMYM6"	"SHCBP1"	"CLEC2B"	"ABI1"	"RNASET2"	"SYF2"	"PABPC1"	"CBX3"	"ATP6V1H"	"ZDHHC14"	"TRIM37"	NA	NA	NA	NA	NA	NA	NA	NA
"KIF23"	"SEPTIN7"	"PABPC1"	"KIF23"	0.678485349962207	"RPS9"	"PRCP"	"DOCK2"	"SRGAP3"	"KIF23"	"ZNF586"	"CCND3"	"BTG1"	"TAB2"	"SEPTIN7"	"MACROH2A1"	"CYB5R1"	"COQ10B"	"GIT2"	"HOPX"	"ATP5PO"	NA	NA	NA	NA	NA	NA	NA	NA
"MMP2"	"LRRC59"	"KIF23"	"MMP2"	0.646613845452868	"SYF2"	"ACTL6A"	"DNAJA4"	"CCND3"	"COL1A1"	"ANXA2"	"LCN2"	"HSD17B12"	"DDX42"	"SYF2"	"DMAC2"	"CCSER2"	"GIMAP4"	"HPRT1"	"CCNC"	"PNN"	NA	NA	NA	NA	NA	NA	NA	NA
"STRAP"	"SRC"	"PMS1"	"STRAP"	0.616172	"WTAP"	"WIPI1"	"DENND4A"	"MKNK1"	"PABPC1"	"UBE3C"	"PRCP"	"NCOA6"	"BTRC"	"KIAA1109"	"PPM1F"	"CLTA"	"RTN4"	"DOCK2"	"CMAHP"	"PRMT1"	NA	NA	NA	NA	NA	NA	NA	NA
"COL1A1"	"SF1"	"SEC62"	"COL1A1"	0.535108386243386	"HBB"	"GNG11"	"PPP2R5C"	"IRAK1"	"MMP2"	"SRC"	"VPS35"	"MCTS1"	"MMP2"	"TECR"	"TAB2"	"IKZF1"	"CHI3L1"	"TP53BP1"	"HECTD4"	"ATP5F1A"	NA	NA	NA	NA	NA	NA	NA	NA
"FAM53B"	"CMTM6"	"SRGAP3"	"FAM53B"	0.534522413793104	"SEPTIN7"	"KIF23"	"RCC1L"	"USP25"	"FAM53B"	"PRMT1"	"PLCG2"	"TBC1D1"	"ATP6V1H"	"RAP1A"	"SF3B2"	"NDUFB6"	"CCSER2"	"EEF1A1"	"SYF2"	"SUV39H2"	NA	NA	NA	NA	NA	NA	NA	NA
