"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"DDX3X.DDX3X"	"PLCG2"	"DDX3X"	"DDX3X"	0.984375	"SYK"	"MKNK1"	"PTPRC"	"CD22"	"DDX3X"	"TIA1"	"ATP5F1A"	"ACTN1"	"POLR2B"	"ANXA1"	"TSPYL1"	"TPSAB1"	"ARHGAP25"	"ALG5"	"KAT6A"	"TP53"	"IL6"	"ESR1"	"AKT1"	"APOE"	"MTHFR"	"EGFR"	"IL6"	"GIMAP4"
"FLT3"	"CD22"	"FLT3"	"FLT3"	0.974761787205544	"ACTN1"	"FGD2"	"HIPK1"	"BLK"	"CD22"	"VCAN"	"FLT3"	"TOR1AIP1"	"RUVBL2"	"PRKCB"	"CD19"	"C11orf21"	"DENND1B"	"HPRT1"	"BLNK"	"VEGFA"	"TP53"	"MTHFR"	"VEGFA"	"VEGFA"	"IL6"	"AKT1"	"EGFR"	"CSRP2"
"IKZF1"	"PRKCB"	"IKZF1"	"IKZF1"	0.816444830650278	"POU2AF1"	"RHEB"	"DIP2A"	"POU2AF1"	"SF3B2"	"PTPRE"	"CCN2"	"PAK2"	"FAM53B"	"CLEC2B"	"TMED5"	"UBR2"	"PABPC1"	"NKTR"	"RPS15"	"MTHFR"	"VEGFA"	"APOE"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"MTHFR"	"ARMCX1"
"KMT2A"	"HNRNPC"	"KMT2A"	"KMT2A"	0.779233651638503	"ADAM28"	"PABPC1"	"SLC4A1"	"MYB"	"SMC1A"	"DENND4A"	"TPP2"	"CNPY2"	"TMEM267"	"TNPO1"	"MPO"	"CMTM6"	"ACAT1"	"RHEB"	"RNASET2"	"AKT1"	"MTHFR"	"AKT1"	"IL6"	"AKT1"	"AKT1"	"VEGFA"	"TP53"	"BLNK"
"CD22"	"ATP8B1"	"SMC1A"	"CD22"	0.72469795803779	"PRKCB"	"BCAR3"	"SEC62"	"LMO2"	"BLK"	"TXNRD1"	"HBB"	"BLNK"	"MKNK1"	"SEPTIN7"	"DDX42"	"ATF3"	"MRPS27"	"TMED5"	"SRGN"	"EGFR"	"EGFR"	"TP53"	"ESR1"	"MTHFR"	"TP53"	"APOE"	"VEGFA"	"JUP"
"KAT6A"	"POU2AF1"	"SF3B2"	"KAT6A"	0.695086755423859	"NFIL3"	"P4HB"	"DENND1B"	"IKZF1"	"POU2AF1"	"RHEB"	"MYB"	"GSN"	"HCAR3"	"NDC80"	"NRIP1"	"BEX3"	"NUMA1"	"ZNF91"	"GNA15"	"ESR1"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"EGFR"	"MTHFR"	"APOE"	"GNA15"
"PTPRC"	"BCAR3"	"KAT6A"	"PTPRC"	0.691016861132425	"SOCS2"	"BLK"	"P2RY10"	"PSIP1"	"PLCG2"	"LGMN"	"ATP8B4"	"SEC62"	"NBR1"	"ETS2"	"MME"	"LGALS3"	"FNDC3B"	"TPP2"	"EAF2"	"APOE"	"APOE"	"IL6"	"EGFR"	"ESR1"	"VEGFA"	"ESR1"	"AKT1"	"CLEC2D"
"SMC1A"	"MKNK1"	"CD22"	"SMC1A"	0.660978401711825	"CEBPD"	"SF3B2"	"FGD2"	"TCL1A"	"KMT2A"	"SYK"	"PTX3"	"RPS9"	"FBXO9"	"LAPTM4B"	"ANXA1"	"PRCP"	"DIAPH1"	"SMAD7"	"TXNRD1"	"IL6"	"AKT1"	"EGFR"	"APOE"	"IL6"	"APOE"	"TP53"	"ESR1"	"MGAT4A"
"EPAS1"	"TBC1D4"	"PTPRC"	"EPAS1"	0.633628076654808	"LMO2"	"POU2AF1"	"RHOB"	"ROR1"	"FLT3"	"UBA1"	"LEPROT"	"PMPCB"	"ARMCX1"	"SLC11A1"	"CHD9"	"HEXA"	"ATP8B1"	"SCML1"	"RAC1"	NA	NA	NA	NA	NA	NA	NA	NA	"ROR1"
"FUS"	"ANXA1"	"EPAS1"	"FUS"	0.616893758031478	"MYB"	"RPS9"	"ZNF24"	"FUS"	"FUS"	"ATP5F1A"	"CLEC2B"	"EIF4G2"	"PPP4R3B"	"THADA"	"CPA3"	"FCGR2A"	"LGMN"	"DIAPH1"	"P4HB"	NA	NA	NA	NA	NA	NA	NA	NA	"LYZ"
