"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"HOXA13.HOXA13"	"EBF2"	"HOXA13"	"HOXA13"	1	"EBF2"	"GDF2"	"ANLN"	"GABRD"	"GABRD"	"MUC6"	"LINC01018"	"PZP"	"SPOCK1"	"CYP1A2"	"FAM83F"	"MFSD2A"	"IGFALS"	"ASPM"	"COX7B2"	"CLEC4M"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"GPC3"	"ANGPTL6"	"GYS2"	"GYS2"	0.967032967032967	"VIPR1"	"VIPR1"	"MARCO"	"BUB1B"	"BUB1B"	"SAA1"	"THBS4"	"CYP1A1"	"HSD11B1"	"PTH1R"	"GLS2"	"SAA2"	"NCAPG"	"RETREG1"	"AVPR1A"	"GDF2"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"TERT"	"OLFML2B"	"ADRA1A"	"ADRA1A"	0.958333333333333	"COLEC10"	"CDK1"	"DEPDC1"	"TOP2A"	"GYS2"	"BUB1"	"RSPO3"	"DLGAP5"	"GPM6A"	"TRPV6"	"SPP2"	"BUB1"	"CDC20B"	"SYT9"	"SAA1"	"MFSD2A"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"TOP2A"	"AC107396.1"	"SSX1"	"TOP2A"	0.950354609929078	"GDF2"	"GABRD"	"RIPOR3"	"ANGPTL6"	"TOP2A"	"NMRAL2P"	"PVALB"	"NDST3"	"AC092384.2"	"CENPF"	"LINC01702"	"HGFAC"	"CLEC4M"	"TSLP"	"FCN3"	"CLEC4G"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"CDKN2A"	"FENDRR"	"SIX1"	"GPC3"	0.950248756218905	"GABRD"	"AC134043.3"	"ZIC2"	"CDKN2A"	"CDKN2A"	"LYPD1"	"UGT1A4"	"FAM180A"	"GLYAT"	"AC087392.1"	"SFTA1P"	"UBE2C"	"HAMP"	"LINC01702"	"CLEC1B"	"AC107396.1"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"SIX1"	"AC134043.3"	"TOP2A"	"TERT"	0.887179487179487	"CLEC1B"	"EBF2"	"CAMK2B"	"UBE2C"	"ANGPTL6"	"COLEC10"	"ANLN"	"ST6GAL2"	"DPT"	"NUDT10"	"PZP"	"MUC13"	"CYP1A1"	"HOXD9"	"TRPV6"	"INS.IGF2"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"UGT1A4"	"STAB2"	"RSPO3"	"CDKN2A"	0.865266169699546	"CLEC4M"	"CLEC1B"	"ASPM"	"CDKN3"	"ADRA1A"	"SLC5A1"	"AC010547.2"	"AC104809.1"	"TOP2A"	"HAGLR"	"BIRC5"	"MAGEA1"	"CHST4"	"PLGLA"	"HOXD8"	"FCN2"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"BUB1B"	"NXPH4"	"GPC3"	"UGT1A4"	0.858058608058608	"FCN2"	"CLEC4M"	"PITX1"	"PTH1R"	"RSPO3"	"FREM2"	"LINC00844"	"KIF18B"	"ANLN"	"LINC02428"	"LINC01093"	"DTL"	"CYP2C8"	"HAND2"	"SPP2"	"EBF2"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"ADRA1A"	"GABRD"	"CDKN2A"	"GABRD"	0.833333333333333	"CLEC4G"	"ANGPTL6"	"CDH19"	"DLGAP5"	"TERT"	"UROC1"	"IGF2"	"BUB1"	"TIMD4"	"MELK"	"RSPO3"	"AC092384.2"	"AC092384.2"	"FAR2P1"	"CDC20"	"VIPR1"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"SSX1"	"AC010547.2"	"BUB1B"	"SIX1"	0.759259259259259	"NTF3"	"STAB2"	"SPP2"	"ADRA1A"	"UBE2C"	"C9"	"DBH"	"CYP1A2"	"PLAC8"	"HGFAC"	"HAO2"	"LYPD1"	"FAM180A"	"AC107396.1"	"B4GALNT2"	"CRHBP"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
"GABRD"	"CKAP2L"	"TERT"	"BUB1B"	0.74	"OLFML2B"	"CRHBP"	"CD5L"	"HJURP"	"TTC36"	"ADH1C"	"KIF2C"	"ADRA1A"	"HJURP"	"DPT"	"LINC01419"	"E2F8"	"HOTTIP"	"SSX1"	"LINC01702"	"MARCO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CYP2C8"	"GDF2"	"GABRD"	"ANGPTL6"	0.732894413396458	"RSPO3"	"FCN2"	"KCNN2"	"BUB1"	"CYP2C8"	"IGF2"	"EBF2"	"AC010280.2"	"HPGD"	"CXCL14"	"BMPER"	"GPR182"	"C7"	"BMP10"	"KIF4A"	"TTC36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DBH"	"COL15A1"	"UGT1A4"	"TTC36"	0.714825577024616	"COL15A1"	"CLEC4G"	"GNAO1"	"RSPO3"	"SIX1"	"CDC20"	"CTHRC1"	"MT1E"	"LINC01419"	"CDKN2A"	"NUDT10"	"GLYAT"	"SMUG1P1"	"APOF"	"CYP2A7"	"CLEC1B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ISX"	"ESM1"	"CYP2C8"	"SSX1"	0.61449471611552	"GPM6A"	"MELK"	"BIRC5"	"GDF2"	"C9"	"NEIL3"	"ADRA1A"	"ISX"	"F9"	"NDST3"	"FAR2P1"	"BIRC5"	"TPPP2"	"ZIC5"	"LINC00844"	"AL021328.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RSPO3"	"RIPOR3"	"ANGPTL6"	"UBE2C"	0.6005291005291	"ANGPTL6"	"KIF4A"	"KIF4A"	"OLFML2B"	"HJURP"	"HHIP"	"PRAME"	"FREM2"	"FAM99A"	"AC010547.2"	"EPS8L3"	"RDH16"	"COL9A1"	"VIPR1"	"BMP5"	"FAM163B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HSD11B1"	"PLGLA"	"BMP5"	"CYP2C8"	0.573168664354858	"BMPER"	"CDKN3"	"PITPNM3"	"CLEC4G"	"HOXA13"	"NXF3"	"SCARA5"	"AC004540.2"	"TM4SF20"	"HJURP"	"DTL"	"COL6A6"	"GPR182"	"THRSP"	"MT1E"	"ECM1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ITLN1"	"MND1"	"TTC36"	"C9"	0.556757130226294	"HAGLR"	"HJURP"	"CYP26A1"	"BCO2"	"CDKN3"	"FOLH1B"	"HAGLR"	"LYPD1"	"IQGAP3"	"BMS1P8"	"AC104809.1"	"CNDP1"	"NXF3"	"SPOCK1"	"GBA3"	"BMPER"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NAT2"	"COLEC10"	"ISX"	"RSPO3"	0.497401123948395	"PLGLA"	"NUF2"	"PGC"	"STAB2"	"ITLN1"	"SFRP1"	"COL6A6"	"FAM99A"	"GBA3"	"CFP"	"SKA1"	"RSPO3"	"FENDRR"	"TGM3"	"TROAP"	"NUF2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC5A1"	"CTHRC1"	"UBE2C"	"CHST4"	0.442294145061728	"AC107396.1"	"OLFML2B"	"IGFALS"	"ITLN1"	"BCO2"	"INS.IGF2"	"MT1E"	"E2F8"	"KCNN2"	"HSD17B13"	"CLEC1B"	"BMS1P8"	"DTL"	"SLITRK3"	"AC104809.1"	"NAT2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BUB1"	"PVALB"	"C9"	"ISX"	0.426419207540334	"AC134043.3"	"SKA3"	"MMP11"	"TERT"	"DLGAP5"	"OLFML2B"	"DNER"	"HOXD8"	"SKA1"	"TM4SF20"	"RDH16"	"TTK"	"CPLX2"	"EPS8L3"	"EXO1"	"LINC01093"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HJURP"	"C14orf180"	"CHST4"	"ITLN1"	0.40860270776644	"NXPH4"	"KIF18B"	"SLC5A1"	"DBH"	"OLFML2B"	"SKA3"	"TM4SF20"	"COLEC10"	"SRD5A2"	"C9"	"DNER"	"UGT1A4"	"NUDT10"	"DNER"	"ANGPTL6"	"MT1E"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TTC36"	"HAGLR"	"ITLN1"	"HSD11B1"	0.381324404761905	"PTH1R"	"AC107396.1"	"PVALB"	"TTC36"	"PTH1R"	"CFP"	"TIMD4"	"SAA4"	"FAM99B"	"NXPH4"	"MT2P1"	"CXCL14"	"HOXA10"	"LINC00844"	"IGFALS"	"COL15A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BMP5"	"RSPO3"	"HSD11B1"	"BCO2"	0.376990740740741	"ECM1"	"BMP10"	"COCH"	"HOXA13"	"GPC3"	"ASPM"	"CHRNA4"	"CNDP1"	"DNASE1L3"	"IL13RA2"	"CDKN3"	"EXO1"	"TRIM71"	"HOTTIP"	"MOGAT2"	"SMUG1P1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SPP2"	"DBH"	"BCO2"	"DBH"	0.372618574110672	"CXCL14"	"OIT3"	"CDKN3"	"CYP26A1"	"UGT1A4"	"SLC25A47"	"FAR2P1"	"DTL"	"CPLX2"	"AC104809.1"	"HEPACAM"	"MT1F"	"COL15A1"	"OIT3"	"NCAPG"	"CYP3A4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCK1"	"COL9A1"	"HJURP"	"SLC5A1"	0.357851060364002	"FCN3"	"MARCO"	"SLC10A1"	"SIX1"	"BMP5"	"PITPNM3"	"ADH1C"	"FXYD1"	"PCK1"	"ECM1"	"C7"	"NAT2"	"GPM6A"	"MUC13"	"PBK"	"PTH1R"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
