"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"PTPN13.PTPN13"	"ANGPTL6"	"PTPN13"	"PTPN13"	1	"ANGPTL6"	"ANGPTL6"	"PRSS22"	"PTPN13"	"PTPN13"	"ANXA3"	"CHRNA4"	"AC015908.3"	"OTC"	"SAA4"	"BICDL2"	"UGT2B10"	"AOX1"	"AC122713.2"	"ADH4"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"	"RAB25"
"SLC34A2"	"VTCN1"	"SLC34A2"	"SLC34A2"	0.704395374865133	"CXCL14"	"OIT3"	"PON1"	"VTCN1"	"SLC34A2"	"ESRP1"	"CES3"	"ASPG"	"LINC01702"	"PLG"	"LINC00844"	"CTH"	"CEACAM6"	"CLDN10"	"PFKFB1"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"	"BICDL2"
"CYP2C8"	"CXCL14"	"CYP2C8"	"TAT"	0.597839314060962	"GRHL2"	"LINC01093"	"PROM1"	"SLC34A2"	"CYP2C8"	"IL20RA"	"SLC28A3"	"SDS"	"LINC01485"	"ADGRG7"	"AC112206.2"	"ACSM5"	"LINC01833"	"TLDC2"	"PTPN13"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"	"GPRIN2"
"C9"	"KRTCAP3"	"TAT"	"CYP2C8"	0.422667386112811	"OIT3"	"APOF"	"TENM1"	"TAT"	"C9"	"TAT"	"LINC01093"	"GJB3"	"NEU4"	"HS3ST3B1"	"ABCB11"	"C8B"	"AZGP1"	"IGFBP1"	"ACSM5"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"	"GRHL2"
"SIX2"	"ASS1"	"C9"	"VTCN1"	0.377775	"APOF"	"SERPINA11"	"SLC6A13"	"CXCL14"	"VTCN1"	"ABCA8"	"CYP2A7"	"PBLD"	"AL161740.1"	"IGSF3"	"ADRA1A"	"CFHR4"	"CYP2B7P"	"HPD"	"ANGPTL6"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"	"ESRP1"
"MPPED1"	"ANXA3"	"MPPED1"	"C9"	0.356484850212455	"CLDN10"	"SARDH"	"SYT7"	"CPS1"	"TAT"	"CNTFR"	"C9"	"ADH1B"	"SERPINA4"	"AQP9"	"ASS1"	"GBA3"	"LINC02754"	"AL365181.2"	"CXCL6"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"	"SLC34A2"
"DSG1"	"SHBG"	"SIX2"	"SPP1"	0.347769608151076	"RAB25"	"RAB25"	"IL20RA"	"ANXA3"	"KRT19"	"AL365181.2"	"KRT19"	"ACSL1"	"FAM99A"	"AP001783.1"	"CTXN1"	"TLDC2"	"KLKB1"	"RTP3"	"AGXT"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"	"CLDN10"
"SPP1"	"OIT3"	"VTCN1"	"SIX2"	0.328979582097856	"ADGRG7"	"SERPINF2"	"IGF1"	"MPPED1"	"SIX2"	"HPD"	"LECT2"	"ABCA8"	"GFRA1"	"C5orf46"	"MMP10"	"CLDN10"	"ITGA2"	"SLC28A3"	"PLIN1"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"	"VTCN1"
"KRT19"	"CLDN10"	"SPP1"	"KRT19"	0.301972623345965	"LINC01093"	"LPA"	"CYP3A43"	"CEACAM6"	"MPPED1"	"HPX"	"CPS1"	"AFAP1.AS1"	"ADH4"	"UNC93A"	"U91324.1"	"ADH1C"	"PROM2"	"CFHR4"	"SLC22A7"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"	"KRT19"
"PCK1"	"GRHL2"	"DSG1"	"MPPED1"	0.291559925014438	"PTPN13"	"C8B"	"CPS1"	"KRT19"	"SLC22A1"	"AKR7A3"	"C8B"	"HAL"	"AC008549.1"	"APOC1P1"	"APOC1P1"	"DSG1"	"CNTFR"	"CYP2A13"	"UNC93A"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"	"PRSS22"
"FABP1"	"APOF"	"KRT19"	"DSG1"	0.251653205666983	"BCO2"	"GLYATL1"	"C8B"	"SLC22A1"	"ASS1"	"UGT1A4"	"ANXA3"	"CFHR3"	"TACSTD2"	"AC122713.2"	"KLK11"	"A1BG"	"ACSM2A"	"TM6SF2"	"PKHD1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PKHD1"
"CYP2E1"	"LILRB5"	"CPS1"	"CPS1"	0.243529166550625	"ALDH8A1"	"ESRP1"	"HSD17B6"	"MAT1A"	"CYP1A2"	"BICDL2"	"ACSL1"	"BICDL2"	"TENM1"	"ADH1B"	"AFAP1.AS1"	"ABCC9"	"LINC02362"	"TRIM45"	"APOC1P1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM99A"
"SLC10A1"	"PTPN13"	"SLC22A1"	"SLC22A1"	0.243543216059419	"NAT2"	"GYS2"	"IBSP"	"TTR"	"SPP1"	"GJB3"	"SLC6A12"	"CYP4F2"	"ANXA3"	"SLC6A12"	"HS3ST3B1"	"B3GALT5"	"DSG1"	"LINP1"	"FAM99A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"B3GALT5"
"TAT"	"BCO2"	"HPGD"	"PCK1"	0.239263916879238	"TPPP2"	"ALDH8A1"	"OTC"	"ASS1"	"PCK1"	"AL121827.1"	"ALDOB"	"ELFN1"	"LINC01370"	"CEACAM6"	"ELFN1"	"IGSF3"	"SHBG"	"GLYAT"	"DNMT3L"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"UCA1"
"ANXA3"	"GPRIN2"	"PCK1"	"CYP1A2"	0.235877689427189	"GYS2"	"ASS1"	"C6"	"CTHRC1"	"CPS1"	"TACSTD2"	"HAO2"	"CLDN10"	"CPS1"	"ANXA8L1"	"CYP2B6"	"PROM1"	"FXYD1"	"ACSM2A"	"FCAMR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"IL20RA"
"CTHRC1"	"FAM81A"	"CYP1A2"	"HPGD"	0.233814995943956	"PROM2"	"CXCL14"	"ABCC9"	"ARG1"	"CTHRC1"	"HPGD"	"AC004862.1"	"GPLD1"	"GPLD1"	"LINC02362"	"GRHL2"	"AC012379.1"	"LINC01485"	"UGT3A1"	"PGLYRP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CEACAM6"
"LECT2"	"RAB25"	"FABP1"	"FABP1"	0.229879584817989	"PROM1"	"C8A"	"SPP2"	"LPA"	"CXCL14"	"HAO1"	"TRIM45"	"CYP2C8"	"DNASE1L3"	"C9"	"AC015908.3"	"AFAP1.AS1"	"B3GALT5"	"ACSM5"	"AOX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PROM1"
"AZGP1"	"CTHRC1"	"ASS1"	"ASS1"	0.219442162713848	"SLC25A47"	"ASPDH"	"ABCB11"	"PCK1"	"ANXA3"	"ADH1C"	"AKR7A3"	"ASS1"	"SLC22A10"	"SLC34A2"	"AMDHD1"	"LINC02754"	"THRSP"	"TAT"	"ASPG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SLCO1B3"
"CYP3A4"	"LINP1"	"CEACAM6"	"IGF1"	0.21897847630398	"PLGLB2"	"CLDN10"	"CD5L"	"CYP1A2"	"DSG1"	"MFAP3L"	"ELFN1"	"PKHD1"	"UGT2B7"	"ADRA1A"	"AP006216.2"	"HS3ST3B1"	"SAA2.SAA4"	"AC104809.2"	"SHBG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SLC2A9"
"C6"	"FXYD1"	"IGF1"	"TTR"	0.216522222222222	"TTC36"	"CYP4A11"	"PPP2R2C"	"SLC10A1"	"NAT2"	"LINC02754"	"CYP39A1"	"PIK3C2G"	"CYP3A4"	"AC137723.1"	"ADH1B"	"CXCL14"	"UNC93A"	"DAO"	"SLC13A5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CYP1A2"
"ALDOB"	"SERPINF2"	"SLC10A1"	"SLC10A1"	0.217053612910949	"DNASE1L3"	"PRODH2"	"CAPN6"	"GNMT"	"FABP1"	"SLC22A7"	"PPP2R2C"	"AQP7P1"	"APOF"	"IL20RA"	"ANGPTL6"	"PGLYRP2"	"FOLH1B"	"SLC22A10"	"AL161668.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM99B"
"IGFBP1"	"BICDL2"	"TTR"	"CEACAM6"	0.213823265644101	"UROC1"	"HAO1"	"AFM"	"IGF1"	"IGF1"	"PLGLB2"	"G6PC"	"UGT2B7"	"SAA2.SAA4"	"SLC6A13"	"FABP1"	"SLC25A47"	"UGT1A3"	"ADGRG7"	"ACSM2A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AFAP1.AS1"
"MAT1A"	"CYP4A22"	"CYP3A4"	"CYP3A4"	0.213692802857828	"ANXA3"	"PTPN13"	"GRHL2"	"FABP1"	"MAT1A"	"ELFN1"	"ABCA8"	"PGLYRP2"	"NTM"	"CYP2A7"	"AC012379.1"	"AKR1D1"	"CAPN6"	"GPRIN2"	"HPGD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ANGPTL6"
"SLC22A1"	"B3GALT5"	"CYP2E1"	"CYP2E1"	0.210327989274616	"LINP1"	"NAT2"	"SLC27A5"	"ADH4"	"SLC10A1"	"FIBCD1"	"APOC1P1"	"SLC27A2"	"ABCC9"	"NEU4"	"CYP2A7"	"THRSP"	"ADH4"	"CNGA1"	"FXYD1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL14"
"ADH4"	"PKHD1"	"AZGP1"	"ANXA3"	0.205528316596859	"ANXA8L1"	"PLGLA"	"HAL"	"SHBG"	"LPA"	"AC136601.2"	"TPPP2"	"ESRP1"	"HSD17B6"	"SULT1E1"	"COL22A1"	"AKR7A3"	"AQP7P1"	"FAM99B"	"AC020978.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ANXA3"
"CXCL14"	"PLGLB2"	"CTHRC1"	"IGFBP1"	0.202792648717253	"CYP39A1"	"PRSS22"	"CEACAM6"	"MBL2"	"AZGP1"	"SNHG4"	"PRG4"	"PLGLB2"	"PPP2R2C"	"UGT1A2P"	"BCHE"	"LINC01831"	"ADGRG7"	"TMEM82"	"LINC02499"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAPN6"
"FTCD"	"KRT19"	"LECT2"	"GNMT"	0.199837822528888	"GLYATL1"	"TMEM82"	"FETUB"	"OTC"	"CYP3A4"	"NEU4"	"ARID3C"	"FADS6"	"ANXA10"	"TLDC2"	"IGFBP1"	"SLC6A13"	"A1BG"	"VTCN1"	"DPYS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PTPN13"
"SLCO1B3"	"BCHE"	"ANXA3"	"CTHRC1"	0.193007472877983	"GPRIN2"	"MOGAT2"	"TBX15"	"SIX2"	"FTCD"	"OIT3"	"LINC01146"	"CYP2C9"	"CYP3A7"	"ABCC9"	"PROZ"	"DNMT3L"	"LINC02499"	"ITGA2"	"G6PC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"OIT3"
"HRG"	"SLC28A3"	"FTCD"	"LECT2"	0.17623960253323	"PRODH2"	"SLC25A47"	"SLC10A1"	"CYP2C8"	"TTR"	"PRSS22"	"CYP1A1"	"TM6SF2"	"GNMT"	"ACSL1"	"CYP39A1"	"AZGP1P1"	"CDC20B"	"PROM2"	"CYP1A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GPLD1"
"NAT2"	"MRO"	"GNMT"	"OTC"	0.173935980952818	"FXYD1"	"TPPP2"	"SERPINA4"	"LINC01093"	"ADH4"	"AC012379.1"	"KCNF1"	"SLC22A1"	"CFHR4"	"ACOT12"	"GPRIN2"	"TPPP2"	"CYP2E1"	"FNDC5"	"PRSS22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TBX15"
