"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"GABRA3.GABRA3"	"AGER"	"GABRA3"	"GABRA3"	1	"AGER"	"LINC00968"	"PDK4"	"AGER"	"AGER"	"SAPCD2"	"C8B"	"HBB"	"COL11A1"	"PITX2"	"PLPP4"	"TERT"	"FENDRR"	"MAGEA3"	"MCEMP1"	"ZFPM2.AS1"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"WIF1"	"CRABP2"	"ADRB1"	"WIF1"	1	"GPM6A"	"CLEC3B"	"DLX6"	"ADRA1A"	"ADRA1A"	"GPIHBP1"	"AC095050.1"	"FERMT1"	"AL135960.1"	"C8B"	"TPX2"	"EPN3"	"UPK3B"	"DUSP9"	"TMEM100"	"AGER"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"TERT"	"NPSR1.AS1"	"ZBTB16"	"TERT"	0.964912280701754	"CLEC3B"	"AGER"	"CACNA2D2"	"TOP2A"	"SFTPC"	"AC023301.1"	"CA4"	"FOSB"	"PTPRH"	"SLC5A9"	"CA9"	"EEF1A2"	"SERPINB5"	"CA9"	"PLPP4"	"HOXC13"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"SFTPD"	"CD5L"	"CHRNB4"	"SFTPD"	0.966810966810967	"SFTPC"	"CLIC5"	"ANLN"	"EDNRB"	"TUBB3"	"ADH1B"	"MMP12"	"GCNT3"	"TUBB3"	"RRM2"	"PTPRH"	"DUSP9"	"IL36RN"	"GCNT3"	"AL606469.1"	"CASC9"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"MMP1"	"RSPO1"	"ADRA1A"	"SFTPC"	0.951388888888889	"FHL1"	"CA4"	"GABRA3"	"TUBB3"	"TOP2A"	"AC009093.3"	"C2orf91"	"GDF10"	"MMP1"	"PTPRH"	"SKA1"	"SCGB3A1"	"FMO2"	"HOXC13"	"CENPA"	"BBOX1.AS1"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"MMP12"	"CAV1"	"HOXC11"	"CHRNB4"	0.933720930232558	"EDNRB"	"FHL1"	"ATP1A2"	"BUB1B"	"SFTPD"	"PITX1"	"AC013457.1"	"MYBL2"	"GINS1"	"TMPRSS11E"	"GPD1"	"SLC6A4"	"IGSF9"	"CYP4B1"	"C8B"	"CA4"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"CHRNB4"	"XDH"	"TOP2A"	"TUBB3"	0.928030303030303	"RTKN2"	"CAV1"	"MARCO"	"PRX"	"TERT"	"HS6ST2"	"POU6F2"	"PDK4"	"UPK3B"	"GPA33"	"PITX2"	"GPA33"	"PAEP"	"HBA1"	"PLA2G1B"	"NPSR1.AS1"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"HMGA2"	"LINC02016"	"SFTPD"	"MMP1"	0.92965367965368	"CAVIN2"	"TCF21"	"CYP24A1"	"MMP12"	"EDNRB"	"CDCA2"	"PBK"	"PSAT1"	"TNXB"	"S100A7"	"NUF2"	"PI16"	"RHOV"	"CHRNB4"	"IL1RL1"	"LINC00511"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"SFTPC"	"RASAL1"	"EDNRB"	"HMGA2"	0.91637323943662	"CAV1"	"ADAMTS8"	"C8B"	"GTSE1"	"MMP12"	"SCGB1A1"	"B3GNT3"	"AC096531.2"	"CD5L"	"MYBL2"	"CDCA5"	"AC008268.1"	"WIF1"	"HBB"	"FDCSP"	"LINC01996"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"SFTPA2"	"SLC24A2"	"SCN7A"	"MMP12"	0.891203703703704	"AL606469.1"	"CAVIN2"	"FHL1"	"VEGFD"	"MMP1"	"BIRC5"	"GGTLC1"	"NAPSA"	"PAEP"	"UPK3B"	"KIF14"	"ITLN1"	"KIF4A"	"TNS4"	"MYOC"	"CHIAP2"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
