"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"HMGA2.HMGA2"	"NECTIN1"	"ROS1"	"ROS1"	1	"CLDN18"	"NECTIN1"	"PDK4"	"E2F7"	"E2F7"	"AC093895.2"	"KLK6"	"AC005540.1"	"GGTLC1"	"SKA1"	"GAP43"	"GPX2"	"LDLRAD4.AS1"	"AC010595.1"	"PRIMA1"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"	"SBSN"
"TNXB"	"AQP4"	"ZBTB16"	"MUC21"	0.685890555555556	"SFTPC"	"SLC2A1"	"DLX6"	"TNXB"	"ROS1"	"SERPINB5"	"AC110760.2"	"PITX1"	"MMP12"	"E2F7"	"AKR1B15"	"KCNA3"	"DMBT1"	"GABRG3"	"LINC02163"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"	"IL36G"
"SFN"	"S1PR5"	"HOXC11"	"HMGA2"	0.62126168618853	"ADH1B"	"GRHL3"	"GABRA3"	"ZBTB16"	"TNXB"	"SIX2"	"GRHL3"	"E2F7"	"MMP10"	"AKR1B10"	"CALML3.AS1"	"OFCC1"	"C8B"	"AC007849.1"	"LHFPL3.AS2"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"	"SPRR3"
"HOXC13"	"SLC2A1"	"HMGA2"	"ZBTB16"	0.583333333333333	"AQP4"	"E2F7"	"GPRC5A"	"MYBL2"	"HMGA2"	"TFF1"	"LINC01980"	"GNGT1"	"AC027288.1"	"CYP4A11"	"KCNMB2.AS1"	"FOLR1"	"AC022498.2"	"GAL"	"SLC6A11"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"	"IL36RN"
"MMP3"	"GRHL3"	"MUC21"	"E2F7"	0.591646359313779	"GRHL3"	"TTK"	"VSIG2"	"KRT6A"	"ZBTB16"	"SPC25"	"AP005230.1"	"TMEM14EP"	"POU5F2"	"COL4A3"	"AC006206.2"	"RMST"	"IL36RN"	"AC006206.2"	"SIX2"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"	"CLDN18"
"RP1"	"PSAT1"	"APOBEC3B"	"CNTNAP2"	0.544444444444445	"TNXB"	"TFAP2A"	"C8B"	"CNTNAP2"	"KRT6A"	"C12orf56"	"GAL"	"PGC"	"C12orf56"	"AC116049.2"	"SFTPA1"	"AL117329.1"	"RHOV"	"MMP12"	"HOXC11"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"	"SPRR1B"
"AKR1B10"	"TICRR"	"CNTNAP2"	"CHRNB4"	0.531011987691079	"SFTPA1"	"TICRR"	"ARNTL2"	"CHRNB4"	"CHRNB4"	"TNS4"	"GABRA3"	"SRRM3"	"ADAMTSL4.AS1"	"AP005131.4"	"SPTSSB"	"PPP2R2C"	"PITX1"	"MYBL2"	"NKAIN1"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"	"SERPINB4"
"MMP10"	"ANXA8"	"LRP2"	"HOXC11"	0.512605293767621	"GCNT3"	"CDC45"	"HOXC8"	"ROS1"	"APOBEC3B"	"AC008268.1"	"APOBEC3B"	"TMPRSS11E"	"TMEM171"	"RHOV"	"IGF2BP1"	"AC110048.2"	"AC007496.1"	"DLX6.AS1"	"ATOH8"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"	"NECTIN1"
"TNS4"	"TFAP2A"	"WNK2"	"APOBEC3B"	0.491963031780594	"SLC2A1"	"ADH1B"	"ZIC2"	"TFAP2A"	"MUC21"	"CLDN18"	"SYNE1"	"AC016831.4"	"GJB6"	"AQP4"	"MEGF11"	"ADGRF5.AS1"	"AC005540.1"	"AP005230.1"	"AC116049.2"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"	"AC027288.1"
"COL17A1"	"TNXB"	"CHRNB4"	"LRP2"	0.481012364797209	"SFTA1P"	"FOXM1"	"ROS1"	"CDC45"	"WNK2"	"PRICKLE2.AS3"	"ATP13A4"	"TFF1"	"AP005060.1"	"RP1"	"AC005540.1"	"AC092071.1"	"AC016405.1"	"HTR3A"	"CHRNB4"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"	"SFTPC"
"TFAP2A"	"FRMD5"	"E2F7"	"TNXB"	0.450701963446706	"AC090015.1"	"TMEM117"	"COL17A1"	"APOBEC3B"	"MYBL2"	"MAGEA3"	"SFTA1P"	"AC106799.2"	"ADH1B"	"IGSF1"	"TMPRSS11E"	"LINC00491"	"SPINK1"	"AC090015.1"	"C12orf56"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C8B"
"AC110760.2"	"FAM83B"	"HOXC13"	"WNK2"	0.432759090909091	"NOS1"	"S1PR5"	"CLDN18"	"GNGT1"	"CNTNAP2"	"PPP1R26P1"	"ESYT3"	"APOBEC3B"	"SCARNA6"	"LINC02428"	"CA1"	"AC138305.1"	"AL117329.1"	"CA9"	"MAGEA6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KRT6A"
"SUSD2"	"AP001972.5"	"TNXB"	"KRT4"	0.447400735616598	"AL049555.1"	"PSAT1"	"PITX1"	"WNK2"	"HOXC13"	"LRP2"	"C12orf56"	"TMEM117"	"AC087286.4"	"TMEM171"	"CKMT1A"	"AC022498.2"	"ADAMTS9.AS2"	"AC104964.3"	"CPB2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MMP3"
"CDC45"	"PITX1"	"SIX2"	"KRT6A"	0.418932727322872	"ABCA3"	"AQP4"	"ADGRF5"	"SUSD2"	"TFAP2A"	"SELENBP1"	"GCNT3"	"AC027288.1"	"AC092071.1"	"IL36RN"	"AC116407.1"	"IL20RB"	"PDK4"	"LHFPL3.AS2"	"ALDH3B2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GJB6"
"FOLR1"	"B4GALNT4"	"KRT4"	"SIX2"	0.371632400402033	"NDNF"	"ECE2"	"GAL"	"HOXC13"	"TESMIN"	"TESMIN"	"GNG4"	"AL390334.1"	"VSIG2"	"AC079467.1"	"SLC25A5P5"	"PAEP"	"PLA2G1B"	"COL4A3"	"TMEM117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC008268.1"
"CYP4B1"	"GNGT1"	"KRT6A"	"HTR2C"	0.323548890685698	"KRT6A"	"SFTPC"	"PPP2R2C"	"TESMIN"	"HOXC11"	"COL4A3"	"AC011294.1"	"SPTSSB"	"C4BPA"	"BMP2KL"	"TICRR"	"PGC"	"SCN7A"	"AC079467.1"	"NR0B1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GGTLC1"
"GNGT1"	"KRT6A"	"TESMIN"	"HOXC13"	0.3125	"SUSD2"	"KRT16"	"CPB2"	"GABRA3"	"PGC"	"INA"	"LINC01564"	"TNXB"	"VTCN1"	"PBOV1"	"S1PR5"	"SCARNA10"	"SFN"	"AC022498.2"	"FOXM1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TMPRSS11E"
"KHDRBS2"	"CLDN18"	"MUCL3"	"PGC"	0.310498473856209	"FAM83B"	"NDNF"	"LRP2"	"HMGA2"	"LRP2"	"AC096564.1"	"SFTPA1"	"FAM83B"	"SFN"	"HTR2C"	"SFN"	"SFN"	"ROS1"	"LHX2"	"PPP1R26P1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"IVL"
"GNG4"	"NTRK2"	"HTR2C"	"TESMIN"	0.287267177266411	"NECTIN1"	"AP001972.5"	"NKAIN1"	"PGC"	"CDC45"	"SCARNA10"	"LRP2"	"CNFN"	"FOXM1"	"ATP11A.AS1"	"GGTLC1"	"CKMT1A"	"LINC01564"	"KLK6"	"CHODL"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PGLYRP3"
"DUSP9"	"E2F7"	"PGLYRP4"	"PGLYRP4"	0.236842105263158	"SERPINB5"	"ADGRF5"	"TMPRSS11E"	"SFN"	"MUCL3"	"CKMT1B"	"CALML3.AS1"	"AC110760.2"	"CKMT1B"	"ALDH3B2"	"SCGB3A2"	"POU5F2"	"LINC01980"	"AP001972.5"	"PRAME"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC116407.1"
"CTSV"	"GPRC5A"	"AKR1B15"	"MUCL3"	0.238915991850724	"SFTPD"	"PITX1"	"NOS1"	"DUSP9"	"SUSD2"	"FOXM1"	"TMEM108.AS1"	"PPP2R2C"	"SCEL"	"AC016405.1"	"KCNA3"	"PITX1"	"SPRR1B"	"IGHJ3"	"SERPINB4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PLA2G1B"
"PGLYRP3"	"ECE2"	"C8B"	"MYBL2"	0.23015873015873	"KRT4"	"SCN7A"	"CDC45"	"AKR1B10"	"GABRA3"	"DUSP9"	"STARD13.AS"	"CYP2B7P"	"ANXA8"	"MEGF11"	"SCARNA9"	"SPTSSB"	"ADGRD1"	"AC026362.2"	"GRHL3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PITX1"
"SFTPA2"	"NDNF"	"GABRA3"	"C8B"	0.224887355880463	"ALG1L"	"FAM83B"	"PGC"	"MUCL3"	"SFN"	"DMBT1"	"MAGEA3"	"ARNTL2"	"MUCL3"	"ACOXL.AS1"	"HMGA2"	"ATP13A4"	"HTR2C"	"LYPD3"	"AC005537.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC00491"
"CYP4A11"	"GJB6"	"GABRG3"	"SFN"	0.217391304347826	"FRMD5"	"TNXB"	"SUSD2"	"GJB6"	"HTR2C"	"CASC9"	"RAD17P1"	"UHRF2P1"	"GCNT3"	"ABCA3"	"HTR2C"	"AC079160.1"	"NTRK2"	"ADAMTS9.AS2"	"MEGF11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KRT16"
"SFTPA1"	"ADAMTS9.AS1"	"MYBL2"	"AKR1B15"	0.214269670991538	"ANXA8"	"MYBL2"	"MYBL2"	"FOLR1"	"GNGT1"	"AC016831.4"	"AC027288.1"	"CREG2"	"ATP13A4"	"CDC45"	"KHDRBS2"	"LINC01564"	"AUNIP"	"AP005131.1"	"AC096564.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MMP12"
"HOXB13"	"KRT16"	"SFN"	"SUSD2"	0.2041	"CPB2"	"SELENBP1"	"FAM83D"	"SIX2"	"KRT4"	"GCNT3"	"PSMD6.AS2"	"DIAPH1.AS1"	"AP005131.4"	"AC073862.5"	"AC106799.2"	"TFF1"	"DUSP9"	"SYNE1"	"NOS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM83B"
"AKR1B15"	"NOS1"	"SUSD2"	"GABRA3"	0.194649994978904	"SLC46A2"	"GJB2"	"RHOV"	"MMP10"	"SIX2"	"PPP2R2C"	"LRRN4"	"AC012085.2"	"LHFPL3.AS2"	"AL390334.1"	"CYP4Z2P"	"AL160274.1"	"AC012085.2"	"HOXA10"	"LINC02562"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HOXC13"
"IVL"	"DUSP9"	"PGC"	"GABRG3"	0.183248143036656	"SCEL"	"KRT6A"	"RP1"	"CYP4B1"	"C8B"	"IL36RN"	"KIAA0408"	"LRRN4"	"IGF2BP1"	"MAP1LC3C"	"SFTPD"	"CELF2.AS1"	"ZBTB16"	"SLC6A11"	"PAEP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SFTA1P"
"SFTPD"	"TTK"	"TNS4"	"AKR1B10"	0.17877012998842	"PITX1"	"SKA1"	"CNFN"	"CTSV"	"PGLYRP4"	"ECE2"	"TNXB"	"AL160274.1"	"SFTPD"	"IVL"	"LHX2"	"CACNA1C.AS4"	"MAGI1.AS1"	"SPRR3"	"WDR72"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MMP10"
"GJB6"	"KIAA0408"	"MMP3"	"MMP10"	0.171872317215461	"B4GALNT4"	"KIAA0408"	"STEAP1B"	"SYNE1"	"MMP10"	"AKR1B15"	"SFTPA2"	"SPRR3"	"AL136320.1"	"ARNTL2"	"ADAMTS9.AS2"	"CALML3.AS1"	"AC090181.3"	"TESMIN"	"AC073862.5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TICRR"
