"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"PTGS1.PTGS1"	"EPHA10"	"PTGS1"	"PTGS1"	1	"SNHG4"	"EPHA10"	"MATK"	"DLX1"	"HOXD13"	"AL162411.1"	"INSM1"	"KRT15"	"AC112206.4"	"AP004608.1"	"KIAA0087"	"SERPINA5"	"FAM83C"	"CFD"	"CHRNA4"	"C10orf82"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"WIF1"	"PLA1A"	"TUBB4A"	"WIF1"	1	"SLC45A2"	"SNHG4"	"NR1H4"	"PTGS1"	"PDLIM5"	"DLX2"	"AP006748.1"	"DCSTAMP"	"SBSPON"	"AC008870.1"	"UPK1A"	"LINC00992"	"ASPA"	"CAPNS2"	"SOSTDC1"	"EPHA10"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"CHRM3"	"SNHG4"	"CHRM3"	"CHRM3"	0.972222222222222	"EPHA10"	"SIM2"	"DNAH5"	"PDLIM5"	"DLX1"	"LINC01671"	"MMP26"	"CXCL13"	"CABS1"	"NKX2.3"	"PCAT5"	"CACNA1D"	"H19"	"C1QL1"	"CGREF1"	"SOSTDC1"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"ERG"	"PNMT"	"DRD2"	"CACNA1D"	0.931623931623932	"LGR6"	"DLX1"	"ZIC2"	"PCSK6"	"PTGS1"	"SMKR1"	"ADAMTS18"	"OLFM4"	"AP004608.1"	"TRGJP2"	"HAPLN1"	"ALDH1L1.AS2"	"BMP5"	"MYH6"	"LINC02492"	"ERG"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"CACNA1D"	"SLC45A2"	"WIF1"	"DRD2"	0.894444444444444	"SNCG"	"AMACR"	"LMO3"	"CACNA1D"	"CACNA1D"	"AMACR"	"SMKR1"	"INSM1"	"LINC00672"	"AP001610.3"	"HSPB3"	"ELAVL2"	"FBXL21P"	"AC139783.1"	"OR51H2P"	"WIF1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"DRD2"	"DCSTAMP"	"CACNA1D"	"ERG"	0.9	"AC008555.2"	"PCSK6"	"CCN5"	"ADRA1B"	"PCSK6"	"KRT222"	"AL133325.3"	"ALDH1L1.AS2"	"FOXP4.AS1"	"VIT"	"CXCL13"	"STAC"	"RBP4"	"AL589743.1"	"FFAR2"	"AP001610.3"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"ADRA1B"	"MCF2"	"ERG"	"ADRA1B"	0.821428571428571	"PDLIM5"	"SLC45A2"	"COL17A1"	"DLX2"	"ADRA1B"	"KY"	"SLC18A3"	"DNAH5"	"FAM83C"	"AL133325.3"	"MMP26"	"NKX2.3"	"OLFM4"	"DRAIC"	"PTGS1"	"CIDEC"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"PDLIM5"	"FOXP4.AS1"	"KCNF1"	"PDLIM5"	0.827834478133191	"TDRD1"	"HPN"	"GAL"	"WIF1"	"KCNF1"	"ZIC5"	"LMX1B"	"ATP8A2"	"AC141930.1"	"PRAME"	"LUZP2"	"RNF144A.AS1"	"FOXI1"	"PCA3"	"HOXD13"	"ALDH3A1"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"TUBB4A"	"VWCE"	"ADRA1B"	"TUBB4A"	0.7525	"DLX1"	"ASPA"	"EPHA8"	"DNAH5"	"CHRM3"	"HPN"	"OR51C1P"	"SNCG"	"AC009244.1"	"LMO3"	"PNMT"	"PCDHGA1"	"TWIST1"	"ERVH48.1"	"MUC2"	"CPA6"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"PTPRT"	"KCNF1"	"KCNG3"	"PTPRT"	0.777777777777778	"ALDH1L1.AS2"	"HOXD13"	"CYP2W1"	"DRD2"	"DNAH5"	"EPHA8"	"CGREF1"	"RHOXF1P1"	"NR1H4"	"AC141930.1"	"RNF144A.AS1"	"RBP4"	"ERVH48.1"	"AC005336.2"	"KCNF1"	"AC020663.2"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
