"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"NPM1.NPM1"	"CHP2"	"NPM1"	"NPM1"	1	"CFD"	"CFD"	"PARK7"	"KRT1"	"BCL6"	"CFH"	"HNRNPA2B1"	"FBLN2"	"FGFR3"	"FTL"	"GNAS"	"PPIA"	"COX6C"	"TCHH"	"RTN3"	"S100A8"	"IL6"	"IL6"	"IL6"	"VEGFA"	"TNF"	"APOE"	"TP53"	"TNF"
"EEF2"	"RRM2"	"EEF2"	"EEF2"	1	"CFH"	"CHP2"	"SRP14"	"KRT2"	"RRM2"	"MMP9"	"DCN"	"SERPINB7"	"ENO1"	"NONO"	"SERBP1"	"RAB13"	"AQP1"	"CDH3"	"CSTB"	"KRT1"	"APOE"	"EGFR"	"ESR1"	"EGFR"	"APOE"	"TP53"	"AKT1"	"IL6"
"DSP"	"CFD"	"DSP"	"DSP"	1	"CHP2"	"CFH"	"RPL24"	"BCL6"	"CFD"	"NPM1"	"C1R"	"DPYSL2"	"PLPP3"	"PCLAF"	"ACTB"	"CAV2"	"KLF4"	"ITPRID2"	"NEBL"	"S100A7"	"TP53"	"AKT1"	"VEGFA"	"ESR1"	"ESR1"	"VEGFA"	"EGFR"	"TP53"
"FKBP1A"	"HSPH1"	"FKBP1A"	"FKBP1A"	1	"CKS2"	"CKS2"	"RPS27A"	"KLF4"	"KRT1"	"SERBP1"	"HLA.E"	"HMGN2"	"TMSB10"	"CDH3"	"TPI1"	"MGP"	"BUD31"	"RPL32"	"CFL1"	"SPARCL1"	"ESR1"	"ESR1"	"EGFR"	"TNF"	"TP53"	"IL6"	"TNF"	"ESR1"
"IQGAP1"	"MATN2"	"GNAS"	"IQGAP1"	1	"ADH1B"	"ADH1B"	"CFL1"	"NR3C1"	"SERPINB7"	"TCHH"	"RAB13"	"CCNI"	"MXRA7"	"SNRPG"	"RAB25"	"KLK5"	"HSPD1"	"ALDH3A2"	"MFAP5"	"ATP5F1C"	"AKT1"	"APOE"	"APOE"	"AKT1"	"EGFR"	"EGFR"	"ESR1"	"EGFR"
"ACTB"	"CFH"	"IQGAP1"	"ACTB"	1	"SCGB2A2"	"PTTG1"	"RPL18"	"PPL"	"PTGIS"	"SUB1"	"SLC39A6"	"COL3A1"	"PPL"	"CTSK"	"ATP6V0E2"	"CDH3"	"EEF1D"	"KCTD12"	"LCE2B"	"SLC39A6"	"TNF"	"VEGFA"	"AKT1"	"APOE"	"VEGFA"	"TNF"	"IL6"	"APOE"
"CTSB"	"CKS2"	"ACTB"	"CTSB"	1	"TSPAN8"	"TSPAN8"	"EIF3F"	"PPIA"	"KRT16"	"TUBB6"	"C3"	"S100A2"	"ISL1"	"TRIM29"	"HMGB2"	"TAGLN"	"AKR1C3"	"DSG1"	"ADH1B"	"RPL3"	"EGFR"	"TP53"	"TP53"	"TP53"	"AKT1"	"ESR1"	"VEGFA"	"AKT1"
"STAT1"	"CYB5A"	"CTSB"	"STAT1"	1	"SPARCL1"	"BCL6"	"RPS5"	"CEBPA"	"PSMB2"	"MLPH"	"TMEM59"	"SCGB2A2"	"HSP90AA1"	"CFD"	"TMSB4X"	"CXCL9"	"HUWE1"	"ACTA2"	"STAT1"	"LAPTM4A"	"VEGFA"	"TNF"	"TNF"	"IL6"	"IL6"	"AKT1"	"APOE"	"VEGFA"
"SERPING1"	"ACTG2"	"STAT1"	"SERPING1"	1	"PTTG1"	"SCGB2A2"	"RPL34"	"NOTCH2"	"LCE2B"	"MXRA7"	"KRT2"	"HMGB2"	"MLPH"	"CXCL9"	"AZGP1"	"LYPD3"	"JUP"	"TMEM59"	"RPS17"	"ARPC1B"	NA	NA	NA	NA	NA	NA	NA	NA
"GJA1"	"PTTG1"	"SERPING1"	"GJA1"	1	"S100A8"	"SCGB1D2"	"RPL10A"	"FBLN2"	"FLG"	"KLK5"	"LYPD3"	"ITPRID2"	"SLC20A1"	"PNRC1"	"LAPTM4A"	"RPS10"	"HSPH1"	"COX7C"	"RAB11A"	"LMBRD1"	NA	NA	NA	NA	NA	NA	NA	NA
"RRM2"	"BCL6"	"JUP"	"RRM2"	1	"SCGB1D2"	"MATN2"	"PSMB2"	"PSMB2"	"CHP2"	"THBS2"	"CFH"	"FTL"	"HMGN1"	"TUBB3"	"SPARCL1"	"RPS6"	"FTL"	"ATP5PF"	"DUSP4"	"KRT10"	NA	NA	NA	NA	NA	NA	NA	NA
"ALDH3A2"	"SCGB2A2"	"TOP2A"	"ALDH3A2"	1	"MMP1"	"KRT2"	"ERH"	"DCN"	"MMP1"	"ARPC1A"	"CCT3"	"DSP"	"ADIRF"	"ALDOA"	"HSPD1"	"KRT16"	"F13A1"	"CD55"	"FABP5"	"KRT16"	NA	NA	NA	NA	NA	NA	NA	NA
"CDH3"	"NDRG2"	"PPIA"	"CDH3"	1	"KRT23"	"CST6"	"NONO"	"SCGB2A2"	"GJA1"	"RPL12"	"PCNA"	"BACE2"	"KLF4"	"GPX3"	"SLC38A2"	"EMP2"	"SAT1"	"KRT23"	"KRT5"	"SCGB2A2"	NA	NA	NA	NA	NA	NA	NA	NA
"SNRPE"	"CDH3"	"ALDH2"	"SNRPE"	1	"TGFBR3"	"ACTG2"	"RPL30"	"CFD"	"KLF4"	"CD63"	"COX6C"	"CFL1"	"CXCL14"	"EIF5B"	"KPNB1"	"NES"	"SNX3"	"FGFR3"	"THBS2"	"CXCL14"	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINB7"	"MT1X"	"NFKBIA"	"SERPINB7"	1	"METTL7A"	"TGFBR3"	"NPM1"	"AKR1C3"	"ZNF750"	"L1CAM"	"RPS27A"	"DUSP1"	"LCE2B"	"CHCHD2"	"LCE2B"	"UBB"	"LMBRD1"	"AFF1"	"SEC61G"	"KLK5"	NA	NA	NA	NA	NA	NA	NA	NA
"TYR"	"AKR1C3"	"TNC"	"TYR"	1	"BCL6"	"RRM2"	"SNX3"	"RRM2"	"SPRR1B"	"NTRK3"	"ARPC1B"	"EFEMP1"	"ARPC1B"	"RPS4X"	"TIMP1"	"RAB11A"	"GAPDH"	"PTTG1"	"NES"	"TMEM59"	NA	NA	NA	NA	NA	NA	NA	NA
"DSG1"	"PSMB2"	"GJA1"	"DSG1"	1	"RRM2"	"SPRR1B"	"HNRNPD"	"CCT3"	"KRT10"	"CSTB"	"TOB1"	"ELOB"	"SEM1"	"HUWE1"	"PFDN5"	"EEF1D"	"PI3"	"AKR1B1"	"AKR1C2"	"ALDH2"	NA	NA	NA	NA	NA	NA	NA	NA
