"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"FGFR2.FGFR2"	"MGST3"	"FGFR2"	"FGFR2"	1	"CKS2"	"SNCA"	"RPS27A"	"CCNB1"	"FGFR2"	"TRIM29"	"S100A7"	"DAZAP2"	"ANK2"	"EXPH5"	"PDLIM1"	"DDX39A"	"HK1"	"TSPAN14"	"CPQ"	"IL6"	"IL6"	"IL6"	"VEGFA"	"TNF"	"APOE"	"TP53"	"TNF"	"KRT1"
"NT5C2"	"CCNB2"	"NT5C2"	"NT5C2"	1	"CCNB2"	"DAAM2"	"RPL19"	"PSMB2"	"CCNB1"	"CCT5"	"CSNK2B"	"INPP5F"	"COPG1"	"HSPB8"	"HLA.E"	"SLC31A2"	"S100A4"	"SCP2"	"HEXB"	"APOE"	"EGFR"	"ESR1"	"EGFR"	"APOE"	"TP53"	"AKT1"	"IL6"	"KRT10"
"PTPRK"	"SPINT2"	"PTPRK"	"PTPRK"	0.996527777777778	"APOD"	"MGST3"	"PSMB2"	"CCT3"	"PDGFRB"	"UBA52"	"MGST3"	"CRYBG1"	"LTA4H"	"PDGFC"	"SRM"	"S100A11"	"EPB41L4B"	"CXCL14"	"NIPA2"	"TP53"	"AKT1"	"VEGFA"	"ESR1"	"ESR1"	"VEGFA"	"EGFR"	"TP53"	"PFDN5"
"SDHD"	"PRELP"	"SDHD"	"SDHD"	0.973477777777778	"CCNB1"	"CKS2"	"YY1"	"KRT14"	"COLEC12"	"LDB2"	"COPS7A"	"CA12"	"HDDC2"	"HSD17B11"	"SPINK5"	"RBPJ"	"HDAC2"	"CAPZA1"	"CKS2"	"ESR1"	"ESR1"	"EGFR"	"TNF"	"TP53"	"IL6"	"TNF"	"ESR1"	"DPYSL2"
"SDHC"	"HMGB3"	"SDHC"	"SDHC"	0.96875	"SPARCL1"	"APOD"	"TAF10"	"COLEC12"	"CEBPA"	"HDDC2"	"UBE2C"	"ANK2"	"PLAAT3"	"AP3S1"	"FIS1"	"DCTN3"	"ANXA3"	"S100A13"	"MKLN1"	"AKT1"	"APOE"	"APOE"	"AKT1"	"EGFR"	"EGFR"	"ESR1"	"EGFR"	"CAPZA1"
"RAD21"	"S100A13"	"RAD21"	"RAD21"	0.965277777777778	"EIF4EBP1"	"PLP1"	"NPM1"	"CEBPA"	"CCT3"	"SDHD"	"UBA52"	"SERPING1"	"VSNL1"	"TBCA"	"SERBP1"	"CTSK"	"TNFRSF1A"	"DSTN"	"S100A11"	"TNF"	"VEGFA"	"AKT1"	"APOE"	"VEGFA"	"TNF"	"IL6"	"APOE"	"KTN1"
"TUBB3"	"EIF4EBP1"	"TUBB3"	"TUBB3"	0.951679744583018	"UBE2C"	"MELK"	"USP22"	"TUBB2B"	"FEN1"	"LSR"	"CACYBP"	"CYP27A1"	"TMEM131"	"CAPZA1"	"DLGAP5"	"ORAI3"	"DLG5"	"UBE2E3"	"OXA1L"	"EGFR"	"TP53"	"TP53"	"TP53"	"AKT1"	"ESR1"	"VEGFA"	"AKT1"	"SPARCL1"
"PDGFRB"	"CRYAB"	"PDGFRB"	"PDGFRB"	0.91329687890864	"ACOT7"	"RRM2"	"RAD21"	"AHCY"	"PSMB2"	"RBPJ"	"COLEC12"	"TUFT1"	"RTL8C"	"PLP1"	"HMGB3"	"USP11"	"WDR47"	"PLP1"	"POLR2H"	"VEGFA"	"TNF"	"TNF"	"IL6"	"IL6"	"AKT1"	"APOE"	"VEGFA"	"KRT14"
"CSNK2B"	"CCNB1"	"KIT"	"CSNK2B"	0.901944444444444	"DLGAP5"	"HMGB3"	"MLEC"	"FEN1"	"TUBB2B"	"RRM1"	"ACOT7"	"COX8A"	"PTMA"	"CAVIN3"	"UQCRC2"	"UBE2C"	"CEBPA"	"ADSL"	"FGFR2"	NA	NA	NA	NA	NA	NA	NA	NA	"TRIM29"
"TOP2B"	"SNCA"	"TUBB2A"	"TOP2B"	0.886111111111111	"NETO2"	"S100A13"	"WARS1"	"PPL"	"PFDN5"	"USP11"	"CCT5"	"CKS2"	"ATP5MPL"	"HMGCR"	"S100A11"	"RPS27"	"ARL2"	"LDB2"	"CA12"	NA	NA	NA	NA	NA	NA	NA	NA	"S100A6"
