"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ZNF536.ZNF536"	"GRHL3"	"SLC5A5"	"SLC5A5"	9.62010423091463e-05	"GPC3"	"GABRB2"	"TENM1"	"ETV4"	"GPC3"	"MFAP4"	"SRARP"	"AC244502.1"	"SLC34A2"	"PRSS2"	"SYT12"	"PKHD1L1"	"KRT15"	"LINC02408"	"MYOC"	"MMRN1"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"EPHA5"	"CCL21"	"TPO"	"EPHA5"	1	"GRHL3"	"GRHL3"	"MYOC"	"HMGA2"	"EPHA5"	"TRPC5"	"AL355312.4"	"PCSK2"	"CLDN16"	"RPS29P11"	"LNCNEF"	"TIMM8AP1"	"LNCNEF"	"SLIT1"	"RASGRF1"	"LYVE1"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"LRP1B"	"PTCHD4"	"EPHA5"	"LRP1B"	1	"IGSF10"	"DPT"	"C6"	"GPC3"	"KCNQ3"	"ADH1B"	"CCL21"	"HMGA2"	"TMEM215"	"CLDN16"	"CDH16"	"TMEM215"	"EPHA5"	"LINC02555"	"AC012038.2"	"FGF10"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"SLC5A5"	"AL391845.2"	"IGSF1"	"TPO"	0.990740740740741	"PLEKHN1"	"GPC3"	"RASGRF1"	"EPHA5"	"TPO"	"PRR15"	"CHRDL1"	"AL391845.2"	"PCSK2"	"OCA2"	"UNC5B.AS1"	"SRARP"	"SERPINA5"	"STXBP5L"	"CITED1"	"SERPINA5"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"DIO1"	"ETV4"	"SLC34A2"	"DIO1"	0.975	"RELN"	"RELN"	"CDH3"	"DPP4"	"LRP1B"	"SERPINA1"	"IGSF10"	"KLK12"	"PLA2G12B"	"LRRN4CL"	"CST2"	"VIT"	"SLC5A5"	"CHRDL1"	"SLC34A2"	"MYOC"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"IGSF1"	"IGSF10"	"LRP1B"	"IGSF1"	0.944186046511628	"ETV4"	"LYVE1"	"NGEF"	"SLC5A5"	"SLC5A5"	"ST6GALNAC5"	"DPP4"	"CHRNA4"	"TMEM132D"	"LIPI"	"LYVE1"	"ZCCHC12"	"TBX22"	"LRRK2.DT"	"CARTPT"	"VIT"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"GPC3"	"HAGLROS"	"EPHA10"	"GPC3"	0.850781116902571	"AL391845.2"	"LIPH"	"FGF10"	"FN1"	"IGSF1"	"CWH43"	"SERPINA5"	"LRP1B"	"SEC14L3"	"AC046195.1"	"HCN4"	"IVL"	"AC011298.1"	"XKRX"	"AOX1"	"RELN"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"TPO"	"IGSF1"	"DIO1"	"HMGA2"	0.864285714285714	"LINC01977"	"LINC01977"	"SLC6A15"	"TPO"	"HMGA2"	"LRRK2"	"TIMM8AP1"	"NGEF"	"CRABP1"	"ZCCHC12"	"SLIT1"	"GABRB2"	"TMPRSS4"	"LRP1B"	"LYVE1"	"AL391845.2"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"HMGA2"	"SEC14L3"	"GPC3"	"FN1"	0.832767316473448	"GABRB2"	"ADH1B"	"TRPC5"	"LRP1B"	"DPP4"	"IGFN1"	"FER1L6"	"MAN1A2P1"	"AP002358.1"	"NGEF"	"KLK6"	"MMRN1"	"DPP4"	"DES"	"RTL4"	"GPC3"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"FN1"	"SLC6A15"	"ETV4"	"SLC34A2"	0.824175016132531	"DPT"	"HCN4"	"IPCEF1"	"CSF2"	"FN1"	"ARHGAP36"	"HMGA2"	"ADCY8"	"ADIPOQ"	"MT1G"	"TMPRSS6"	"SLC34A2"	"PCSK2"	"PI16"	"LRP1B"	"ETV4"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
