"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SLC5A5.SLC5A5"	"TNNT3"	"SLC5A5"	"SLC5A5"	1	"TNNT3"	"GABRB2"	"PROM1"	"GPC3"	"RYR2"	"MAPK4"	"TCEAL5"	"TCEAL5"	"LINC02454"	"MUC21"	"PRR15"	"SLC5A5"	"TFF1"	"SRARP"	"GPC3"	"RELN"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"EPHA5"	"IHH"	"TPO"	"EPHA5"	1	"RELN"	"RELN"	"TENM1"	"SLC5A5"	"RNVU1.6"	"RXRG"	"AOX1"	"PKHD1L1"	"SERPINA5"	"SYT12"	"WSCD2"	"AC046195.1"	"KLHDC8A"	"GABRB2"	"HMGA2"	"SCARA5"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"LRP1B"	"KLK4"	"EPHA5"	"LRP1B"	1	"GABRB2"	"TNNT3"	"DCN"	"EPHA5"	"PRR15"	"FOXJ1"	"CDH3"	"KLK1"	"IL36RN"	"RYR2"	"ARHGAP36"	"TENM1"	"DIO1"	"RYR2"	"EPHA5"	"C7"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"DIO1"	"UNC5B.AS1"	"IGSF1"	"TPO"	0.934343434343434	"HAPLN1"	"GRHL3"	"MYOC"	"LRP1B"	"GJB3"	"AOX1"	"TMEM132D"	"FAM178B"	"CHRDL1"	"WARS1P1"	"CHRDL1"	"KLK7"	"MFAP4"	"RPSAP52"	"SLC5A5"	"MYOC"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"IGSF1"	"HAPLN1"	"SLC34A2"	"DIO1"	0.912280701754386	"UNC5B.AS1"	"LYVE1"	"C6"	"IGSF1"	"IL36RN"	"AC016405.3"	"PRR15"	"IL36RN"	"DPT"	"FIBCD1"	"AC016405.3"	"CST2"	"GDF15"	"SYNDIG1L"	"METTL7B"	"HAPLN1"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"GPC3"	"LYVE1"	"LRP1B"	"IGSF1"	0.874332151280496	"GRHL3"	"STAB2"	"CDH3"	"HMGA2"	"IHH"	"MAN1A2P1"	"STRA6"	"UGT2B11"	"ADCY8"	"AC026116.1"	"CPNE4"	"GOLT1A"	"SYTL5"	"VIT"	"DPP4"	"DPT"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"IRS4"	"FGF10"	"EPHA10"	"IRS4"	0.851980452674897	"LYVE1"	"DPT"	"NGEF"	"TPO"	"SERPINA1"	"PI16"	"RNVU1.6"	"PI16"	"IHH"	"CWH43"	"CST5"	"SLC6A20"	"WARS1P1"	"AC016405.3"	"TFF3"	"CHRDL1"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"HMGA2"	"GRHL3"	"DIO1"	"GPC3"	0.855962949350946	"STAB2"	"LINC01977"	"FGF10"	"KCNQ3"	"RPS29P11"	"CDH19"	"DPT"	"UPK3A"	"LRRC52.AS1"	"TCEAL5"	"TFF1"	"CARTPT"	"LINC01977"	"OIT3"	"FN1"	"FAM180B"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"FN1"	"OIT3"	"GPC3"	"HMGA2"	0.786908927206988	"IGSF10"	"RYR2"	"CDH19"	"DPP4"	"SYNDIG1L"	"GPC3"	"TMEM163"	"SERPINA1"	"C6"	"LRRC52.AS1"	"GDF10"	"ACTBL2"	"TMEM132D"	"AOX1"	"LRP1B"	"PTCHD4"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"EPHA10"	"PTCHD4"	"MUC21"	"FN1"	0.783950617283951	"SLC6A15"	"UNC5B.AS1"	"SLC6A15"	"DIO1"	"CDH19"	"SERPINA1"	"STXBP5L"	"AL355312.4"	"IRS4"	"FAM180B"	"LYVE1"	"AGR3"	"CACNG4"	"KLK6"	"TPO"	"CDH2"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
"DPP4"	"STAB2"	"IRS4"	"SLC34A2"	0.727459388335905	"MMRN1"	"GPC3"	"TRPC5"	"IRS4"	"CARTPT"	"ODAM"	"LINC02555"	"SYNDIG1L"	"PTCHD4"	"NWD2"	"LRP4"	"METTL7B"	"GAP43"	"CHRDL1"	"GDF15"	"LRRN4CL"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TPO"	"IGSF1"	"KCNQ3"	"DPP4"	0.704545454545455	"DPT"	"FAM180B"	"IPCEF1"	"TFF3"	"GRHL3"	"SLC6A20"	"NWD2"	"LYVE1"	"AC016405.3"	"CEACAM6"	"SEMA3D"	"C6"	"TFF3"	"CDH19"	"CSF2"	"LYVE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADCY8"	"IGSF10"	"HMGA2"	"ADCY8"	0.701963094268728	"PTCHD4"	"CHRDL1"	"WSCD2"	"FN1"	"DES"	"RTL4"	"NECTIN4"	"VTCN1"	"AGR2"	"TNNT3"	"KLHDC8A"	"WSCD2"	"SERPINA5"	"AGR3"	"TFF2"	"KCNA1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC34A2"	"UGT2B11"	"FN1"	"EPHA10"	0.604175	"GPC3"	"LRRN4CL"	"CACNG4"	"CSF2"	"RGS8"	"PCSK1N"	"AL353746.1"	"INAVA"	"IGSF1"	"KLK2"	"DCN"	"AC007255.1"	"SFTPA1"	"SCARA5"	"IGSF1"	"CDH19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GDF15"	"LINC01977"	"ADCY8"	"MUC21"	0.553656607142857	"Z93241.1"	"SCARA5"	"CEACAM6"	"STAB2"	"SCARA5"	"LINC01977"	"UNC5B.AS1"	"LINC02555"	"AL355312.4"	"LINC02555"	"GABRB2"	"KLK11"	"FGF10"	"MPPED2.AS1"	"ADIPOQ"	"NWD2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLK2"	"RELN"	"NGEF"	"GDF15"	0.527458333333333	"CCL21"	"IGSF10"	"TMPRSS11E"	"KLK2"	"KLHDC8A"	"KRT15"	"RGS8"	"KLK11"	"GDF10"	"TMEM132D"	"AADACP1"	"AC026116.1"	"EPHA10"	"EPHA5"	"NGEF"	"KCTD16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
