"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"EPHB3.EPHB3"	"GABRB2"	"LRP1B"	"LRP1B"	0.211794131987543	"GABRB2"	"GABRB2"	"BAIAP3"	"RUNX1"	"RUNX1"	"CATSPER1"	"ASXL3"	"RIMS2"	"CPNE4"	"AC011298.1"	"ESPN"	"ADAMTS14"	"GLDC"	"AC244502.1"	"OR4D10"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"	"MYOC"
"TFF3"	"DCLK3"	"RUNX1"	"PDGFRA"	0.0719232786121088	"DCN"	"SHROOM4"	"MRC2"	"GABRB2"	"PDGFRA"	"DRAXIN"	"LINC01975"	"AC244502.3"	"RASD2"	"EPHA5.AS1"	"AC135584.1"	"GRHL3"	"DCLK3"	"PKHD1L1"	"LINC01460"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"	"GPR142"
"LIPH"	"IGSF1"	"PDGFRA"	"RUNX1"	0.0537507469382486	"CHRDL1"	"KCNQ3"	"DCN"	"PDGFRA"	"LRP1B"	"STMN2"	"AC080038.2"	"DCN"	"SHROOM4"	"UNC5B.AS1"	"TMEM163"	"CWH43"	"PDE4C"	"FOXJ1"	"IGFL2"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"	"FAXC"
"CITED1"	"PLCD3"	"EPHB3"	"EPHB3"	0.0523159946874636	"APOD"	"GRHL3"	"MYOC"	"DPP4"	"EPHB3"	"ADCY8"	"RPS29P11"	"RASD2"	"DPP4.DT"	"TFCP2L1"	"AC244502.3"	"MRC2"	"IGFBPL1"	"TMEM163"	"GALE"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"	"APOD"
"EPHA10"	"CDH6"	"EPHA10"	"EPHA10"	0.0508692181265423	"COLEC12"	"CDH6"	"COL23A1"	"FN1"	"GABRB2"	"AVPR1A"	"TIAM1"	"MIOX"	"WSCD2"	"KRT15"	"ASPHD1"	"BMP8A"	"GALE"	"RASD2"	"APOD"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"	"CAPN6"
"PKHD1L1"	"MFAP4"	"GABRB2"	"DPP4"	0.047610427921186	"PDGFRA"	"SYT12"	"RASGRF1"	"TFF3"	"DPP4"	"GALNTL6"	"AC092954.1"	"AL355312.4"	"AC011944.1"	"IGSF1"	"TBX22"	"FAXC"	"ASPHD1"	"SYT12"	"EPHA10"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"	"NOL4"
"CDH3"	"SHROOM4"	"LIPH"	"MLNR"	0.046180933955745	"SYT12"	"PLEKHN1"	"CDH3"	"MLNR"	"EPHA10"	"DCLK3"	"LCN2"	"MPPED2"	"PWWP3B"	"SHROOM4"	"AL035425.2"	"GLDC"	"LMX1B"	"AP000802.1"	"PDE4C"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"	"QRFPR"
"GJB3"	"AC006305.2"	"LRP4"	"GABRB2"	0.0438033399930598	"MYOC"	"PLCD3"	"NGEF"	"LIPH"	"FN1"	"FIBCD1"	"AC135584.1"	"AC080038.2"	"AC007255.1"	"CITED1"	"GABRB2"	"MFAP4"	"HPSE2"	"HTR1E"	"SLC26A7"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"	"KRT15"
"ZCCHC12"	"GPR142"	"SLC22A31"	"LIPH"	0.0431024789099594	"KRT15"	"KRT15"	"MPPED2"	"HMGA2"	"TFF3"	"EGFEM1P"	"TNRC6C.AS1"	"MACROD2"	"SERTM1"	"CLCNKB"	"REN"	"FOXJ1"	"AC078842.2"	"COLEC12"	"AC120498.1"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"	"KIF19"
"QPCT"	"SYT12"	"METTL7B"	"LRP4"	0.0394257249279758	"FN1"	"PROS1"	"TRPC5"	"EPHB3"	"MLNR"	"COL23A1"	"LINC01878"	"TPTE2P1"	"SOX11"	"BMP8A"	"IL36RN"	"ICAM5"	"METTL7B"	"ALDH3B2"	"NGEF"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"	"LINC01878"
"TMPRSS4"	"CLDN16"	"STRA6"	"TFF3"	0.0346839636177068	"MFAP4"	"AL355312.4"	"WSCD2"	"LRP4"	"LRP4"	"ABCC3"	"CDH6"	"MRC2"	"AC120498.1"	"SLC4A4"	"CSF2"	"SHROOM4"	"ART2P"	"AC244502.3"	"PPY"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LRP4"
"CRABP1"	"QRFPR"	"DPP4"	"FN1"	0.0332628209928834	"C1S"	"NGEF"	"CAPN6"	"CITED1"	"LIPH"	"HCN4"	"RYR1"	"GALE"	"ADCY8"	"EGFEM1P"	"MAPK4"	"SYTL5"	"SYT12"	"CUX2"	"ARHGAP36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DCN"
