"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"daLFC"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"WT1.WT1"	"ASPM"	"PTGER3"	"PTGER3"	1	"RADX"	"ASPM"	"HSPB6"	"WT1"	"TOP2A"	"E2F7"	"CAMK2A"	"UPK3BL1"	"RBFOX3"	"CRHBP"	"AL035425.2"	"AL139351.1"	"SERTM2"	"DGKB"	"ASPA"	"CRHR1"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"HSPB6"	"WT1"	"ZBTB16"	"ZBTB16"	0	"RPRM"	"CENPF"	"E2F2"	"TOP2A"	"BUB1B"	"HJURP"	"MYOCD"	"MEOX2"	"TOP2A"	"RRM2"	"UHRF1"	"HJURP"	"FRMD6.AS2"	"CNN1"	"AC053503.5"	"MIR4768"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"E2F2"	"AL035425.4"	"SIX1"	"SIX1"	0	"GSTM5"	"KLF2"	"SLC38A5"	"BUB1B"	"WT1"	"KIF20A"	"DLX4"	"PGM5P4"	"PTGER3"	"KRT6A"	"DIAPH3"	"CTSV"	"AC053503.3"	"OTX1"	"PADI3"	"MCM10"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"SLC38A5"	"CRYBG2"	"TOP2A"	"TOP2A"	0	"RPL41P5"	"UHRF1"	"FHL1"	"RSPO1"	"RSPO1"	"WSCD2"	"PTGIS"	"SLC22A3"	"TERT"	"CLVS2"	"AC053503.5"	"MYOCD"	"PI16"	"PGM5.AS1"	"PRND"	"BUB1"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"FHL1"	"RADX"	"SCN7A"	"SCN7A"	0	"MKI67"	"NCAPG"	"DEPDC1"	"SIX1"	"TNFAIP8L3"	"DPT"	"MIR1.1HG.AS1"	"KIF18B"	"SERTM2"	"JPH4"	"LINC02310"	"FGF7"	"TMEM132C"	"AL035425.4"	"SCN2B"	"DEPDC1"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"DEPDC1"	"RPRM"	"BUB1B"	"BUB1B"	0	"WT1"	"ASPA"	"PTGER3"	"ERBB4"	"SIX1"	"GALNT17"	"PCDH20"	"PCP4"	"MNX1"	"WT1"	"ASPA"	"TPSD1"	"MIR205HG"	"CPEB1"	"HSPB3"	"TOP2A"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"PTGER3"	"OLFM1"	"TERT"	"TERT"	0	"KLF2"	"GSTM5"	"CHRDL2"	"TERT"	"MYH11"	"MEOX2"	"TMEM132C"	"PRAME"	"AC027449.1"	"MASP1"	"CDO1"	"C7"	"MELK"	"AL139351.1"	"KRT6B"	"CENPF"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"CHRDL2"	"PRAME"	"GRIN1"	"GRIN1"	0	"RPL21P28"	"RERG"	"MCM10"	"TNFAIP8L3"	"PTGER3"	"PLN"	"ZNF300P1"	"PODN"	"LINC01016"	"AP001107.5"	"PI16"	"MIR4768"	"MYOCD"	"TNFAIP8L3"	"IGF2BP3"	"E2F7"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"MCM10"	"BUB1B"	"ERBB4"	"ERBB4"	0	"TCEAL7"	"RADX"	"ASPM"	"GRIN1"	"TERT"	"TCF23"	"AL139351.1"	"AL031429.2"	"HSPB3"	"AC027449.1"	"FOXP2"	"ZCCHC12"	"AC010776.2"	"DEPDC1"	"AP001107.5"	"TMEM132C"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"ASPM"	"CAMK2A"	"WT1"	"WT1"	0	"ASPM"	"RSPO1"	"PITX1"	"MYH11"	"ZBTB16"	"NAP1L2"	"OTX1"	"FRMD7"	"PTCHD1"	"PI16"	"CRHR1"	"CNN1"	"NECAB1"	"RPL41P5"	"DSCAML1"	"CDCA2"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
