"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"WT1.WT1"	"KLF2"	"PTGER3"	"PTGER3"	1	"FXYD1"	"ASPM"	"HSPB6"	"TOP2A"	"PITX1"	"LINC00702"	"PPIAP39"	"HOXB13"	"AC147067.2"	"AC106820.1"	"KLHL4"	"GFRA1"	"POTEF"	"CLEC3B"	"TOP2A"	"AL355075.4"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"HSPB6"	"RPL24P2"	"ZBTB16"	"ZBTB16"	0	"KLF2"	"KLF2"	"FHL1"	"WT1"	"PDLIM3"	"HOXB13"	"AC027807.2"	"TNFAIP8L3"	"KLHL4"	"IQANK1"	"INMT"	"FRMD7"	"JPH4"	"KLHL4"	"WT1"	"MIR487B"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"FHL1"	"DIAPH3"	"FOXA1"	"FOXA1"	0	"ASPM"	"RADX"	"HSD17B6"	"RSPO1"	"SLC22A3"	"H3C7"	"HSPB3"	"FOXA1"	"ACTA2"	"WT1.AS"	"RNY4P20"	"CA4"	"AP003071.4"	"AL035425.4"	"TNFAIP8L3"	"H2AC13"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"HSD17B6"	"ADRA1D"	"TOP2A"	"TOP2A"	0	"SAPCD2"	"MKI67"	"OTC"	"TNFAIP8L3"	"ADRA1D"	"ASXL3"	"CTSV"	"KIF1A"	"LINC00621"	"HSPB3"	"HAPLN1"	"PTGER3"	"CAVIN2"	"H3C7"	"RSPO1"	"H1.5"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"OTC"	"PLP1"	"SCN7A"	"SCN7A"	0	"CPEB1"	"PDZRN4"	"PTGER3"	"SLC2A4"	"AC055874.1"	"FRMD6.AS2"	"TCEAL6"	"LINC00702"	"RTL3"	"ASB2"	"H2BC9"	"FAM180A"	"CRHR1"	"RSPO1"	"SLC2A4"	"MT.TL1"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"PTGER3"	"CPEB1"	"GRIN1"	"GRIN1"	0	"RADX"	"SAPCD2"	"CHRDL2"	"ZBTB16"	"AC005180.2"	"DSCAML1"	"MNX1"	"PCDH20"	"GPM6A"	"GPIHBP1"	"MIR205HG"	"ADGRV1"	"ASPM"	"PI16"	"MYH11"	"H1.4"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"CHRDL2"	"SERTM1"	"WT1"	"WT1"	0	"RERG"	"PRELP"	"MCM10"	"NEURL1"	"NCAM1"	"LGI3"	"PRELP"	"AC017007.6"	"RIC3"	"MMP28"	"SHISAL1"	"PDZRN4"	"NPAS4"	"MIR300"	"NEURL1"	"MCM10"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"MCM10"	"SAPCD2"	"RSPO1"	"RSPO1"	0	"KLHL4"	"FXYD1"	"ASPM"	"MYH11"	"HRCT1"	"ASPM"	"KLHL4"	"RERG"	"FRMD6.AS2"	"RERGL"	"AC016813.1"	"DPT"	"AC009299.2"	"AC147067.2"	"ZBTB16"	"MIR3612"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"ASPM"	"PRAME"	"MYH11"	"MYH11"	0	"MKI67"	"GATA6"	"PITX1"	"PTGER3"	"TRDN"	"NPAS4"	"AC016877.3"	"MIR221"	"H3C7"	"MIR3612"	"FHL1"	"LCN10"	"PI16"	"LINC02310"	"SCN7A"	"MKI67"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"PITX1"	"SEL1L2"	"NEURL1"	"NEURL1"	0	"AL355075.4"	"MCM10"	"HES2"	"GRIN1"	"MRGPRF"	"HSPB7"	"AC136628.3"	"CADM3"	"NCAM1"	"AL035425.4"	"CRHR1"	"RNF183"	"MIR1.1HG.AS1"	"HTR2A"	"GRIN1"	"ASPM"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
