"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"RSPO3.RSPO3"	"TPX2"	"CCNE1"	"CCNE1"	1	"OGN"	"TPX2"	"AOC1"	"TPX2"	"CCNE1"	"FGF18"	"CENPA"	"C1QL4"	"AC079922.1"	"RPL39P3"	"MIR4477B"	"AC046143.2"	"SMIM24"	"LINC02041"	"OMD"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"	"LRFN1"
"ALK"	"CDKN2A"	"RSPO3"	"RSPO3"	1	"CPEB1"	"CDKN2A"	"HSPB6"	"MYBL2"	"TPX2"	"AF131215.7"	"MAB21L2"	"MIR4439"	"AP001442.1"	"RPL18AP3"	"SEPTIN3"	"AC099850.4"	"DEPDC1B"	"LINC02086"	"TNNI3"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"	"DMRT1"
"CDKN2A"	"AC012076.1"	"FGF18"	"FGF18"	0.984	"NECAB1"	"NUF2"	"DEPDC1B"	"CCNE1"	"NMU"	"SNORA73B"	"FTLP14"	"LINGO2"	"GALNT14"	"AL359881.1"	"KIAA1324"	"DEPDC1B"	"PRSS1"	"MT.TL2"	"RNY3P8"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"	"HMGN1P37"
"HMGA2"	"CPEB1"	"ALK"	"ALK"	0.9618	"CDKN2A"	"UBE2C"	"DLX3"	"UBE2C"	"OMD"	"RNA5SP134"	"THBS1"	"RNU5B.2P"	"HOXB9"	"LINC02086"	"PLCXD3"	"MIR4457"	"MAL"	"HMGN2P41"	"FGF18"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"	"AL354766.2"
"CCNE1"	"AC005695.1"	"FOLR1"	"FOLR1"	0.792396219806524	"MYBL2"	"CCNE1"	"LAMP3"	"OMD"	"MYBL2"	"AC110813.1"	"AC005695.1"	"RNA5SP283"	"NCCRP1"	"CENPA"	"SMIM24"	"RNY3P16"	"ADAMTS9.AS1"	"RNA5SP267"	"AL136038.1"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"	"AC099850.4"
"THBS1"	"FAM13C"	"NMU"	"NMU"	0.654507777777778	"TPX2"	"CENPA"	"NDC80"	"NMU"	"LRFN1"	"WNT10A"	"ASPN"	"H3C13"	"MIR1185.2"	"AC046143.2"	"LRFN1"	"AC012442.1"	"MIR587"	"ALK"	"AC103702.2"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"RNA5SP283"
"HOXB9"	"OMD"	"H2BC9"	"H2BC9"	0.532416666666667	"MTFR2"	"MYBL2"	"TPX2"	"CDKN2A"	"CDKN2A"	"NUF2"	"RSPO3"	"MT1H"	"AC007229.1"	"TPX2"	"WNT10A"	"OMD"	"RNA5SP267"	"NXPH4"	"MIR548AQ"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"	"MIR205HG"
"FOLR1"	"LRFN1"	"H2BC17"	"H2BC17"	0.301598433956916	"CENPA"	"MTFR2"	"FMO2"	"LRFN1"	"FGF18"	"SNORD104"	"LRFN1"	"AP001442.1"	"LAMA4.AS1"	"HSPB3"	"MIR1185.2"	"RSPO3"	"AL354766.2"	"CDKN2A"	"RNA5SP225"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"AL359881.1"
"NMU"	"CCNE1"	"HOXB9"	"HOXB9"	0.210461111111111	"CARMN"	"PTTG1"	"SMIM24"	"FGF18"	"UBE2C"	"SCARNA7"	"WNT10A"	"HMGA2"	"PTTG1"	"PRLR"	"UBE2C"	"FGF18"	"ABCA6"	"KCNS1"	"VGLL1"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"	"AC072052.1"
"ELF5"	"HSPB2"	"ATP1B2"	"ATP1B2"	0.1508	"PTTG1"	"SPC25"	"SEPTIN3"	"ACOXL"	"H2BC17"	"KLRG2"	"SRGAP3.AS2"	"SCARNA7"	"H3C13"	"AC098583.1"	"MIR587"	"NMU"	"FOXP1.IT1"	"AL031058.1"	"RNA5SP283"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"	"KRT18P31"
"NDC80"	"WNT10A"	"TPX2"	"TPX2"	0.097796103915638	"AC012076.1"	"OMD"	"MYBL2"	"PTTG1"	"ALK"	"DNM1P47"	"HSPB3"	"DLX4"	"C1QL4"	"ABCA6"	"OR2B6"	"SCARNA7"	"AC004890.1"	"PGAP4"	"MIR4457"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GDF7"
"KIAA1324"	"SLC47A1P1"	"OMD"	"OMD"	0.0809949885991434	"NUF2"	"NDC80"	"SRPX"	"DMRT1"	"FOLR1"	"HMGA2"	"SPC25"	"MIR655"	"SNORD104"	"FOLR1"	"ATP1B2"	"MIR924HG"	"AC138409.1"	"RPS29P3"	"H3C13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ZYG11A"
"UBE2C"	"MIR205HG"	"THBS1"	"THBS1"	0.0777222222222222	"AL139351.1"	"OGN"	"VGLL1"	"KLC3"	"DMRT1"	"AQP5"	"AL359881.1"	"AC046143.2"	"GLDC"	"LINC02041"	"CHCHD2P9"	"NUF2"	"ADGRV1"	"AL139805.1"	"DLX3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GPRASP1"
"DLX4"	"UBE2C"	"DMRT1"	"DMRT1"	0.0624222222222222	"SLC47A1P1"	"MT.ND6"	"KLC3"	"THBS1"	"H2BC9"	"AC138207.3"	"RNY3P8"	"MT.TT"	"AC046174.1"	"GNG7"	"AC009244.1"	"AC027309.2"	"LINC01833"	"ACOXL"	"ADGRV1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"H3C8"
"PTTG1"	"AL139351.1"	"MYBL2"	"MYBL2"	0.0586746666666667	"CCNE1"	"DEPDC1B"	"CCNE1"	"TNNI3"	"ADGRV1"	"MIR4439"	"NUF2"	"RNA5SP134"	"AL139351.1"	"RSPO3"	"LINC01833"	"LINC00668"	"AC092881.1"	"RPL37P6"	"FMO2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KLRG2"
"TPX2"	"KIF1A"	"LRFN1"	"LRFN1"	0.0523	"GPRASP1"	"GPRASP1"	"OGN"	"FOLR1"	"RSPO3"	"PSAT1"	"ABCA6"	"FGF18"	"CCNE1"	"AF127577.6"	"HMGA2"	"B3GNT3"	"RSPO3"	"AC104335.1"	"OGN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC092040.2"
"PRLR"	"MT.TT"	"NCCRP1"	"NCCRP1"	0.043	"OR2B6"	"AC012085.2"	"ASPN"	"H2BC9"	"ACOXL"	"MIR548AQ"	"ADGRV1"	"MIR205HG"	"HMGA2"	"AL049555.1"	"MIR5698"	"SRGAP3.AS2"	"AC010997.6"	"CARMN"	"HMGN1P37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CDKN2A"
"FGF18"	"GPR158"	"ACOXL"	"ACOXL"	0.0367	"NMU"	"LRFN1"	"DLX4"	"ATP1B2"	"THBS1"	"KIF1A"	"MT.TP"	"MT1G"	"AC004890.1"	"LINC01833"	"AL031777.1"	"RNU5B.2P"	"H2BC9"	"UBE2C"	"AC012085.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LAMP3"
"ZYG11A"	"RNF183"	"ADGRV1"	"ADGRV1"	0.0364	"GPM6A"	"SLC47A1P1"	"NMU"	"KIF1A"	"ATP1B2"	"AL590682.1"	"MIR4478"	"AL117329.1"	"IGHD7.27"	"DLX4"	"MT1H"	"AL139351.1"	"IGHD2.15"	"AC092040.2"	"MT.TL2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MTFR2"
"HSPB3"	"GPM6A"	"HMGA2"	"HMGA2"	0.0332	"NDC80"	"NMU"	"FOLR1"	"ADGRV1"	"HOXB9"	"MT.ND6"	"MEG8"	"AL022323.1"	"AC027449.1"	"RNA5SP267"	"RPL24P2"	"NUDT11"	"SRGAP3.AS2"	"AF127577.6"	"AP001442.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC073325.2"
"AQP5"	"METTL7B"	"CDKN2A"	"CDKN2A"	0.0285	"OMD"	"FAM13C"	"PRLR"	"LGALS7B"	"KLC3"	"MIR587"	"RNA5SP470"	"AOC1"	"DNM1P47"	"H3C8"	"AC116533.1"	"HMGN1P37"	"AC090116.1"	"AL022323.1"	"THBS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MIR4477B"
"AOC1"	"NUF2"	"KIF1A"	"KIF1A"	0.0284	"UBE2C"	"MIR497HG"	"UPK1B"	"COL26A1"	"TNNI3"	"TNNI3"	"HSPB1P1"	"CDKN2A"	"RNY3P8"	"LAMA4.AS1"	"PRSS2"	"RNA5SP134"	"SLC25A39P1"	"ADAMTS9.AS1"	"IGHD2.15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC079416.2"
"MT.ND6"	"DLX4"	"KLC3"	"KLC3"	0.023461111111111	"ELF5"	"AL359881.1"	"CENPA"	"RSPO3"	"KIF1A"	"AL031777.1"	"AC091544.2"	"FAM72C"	"MT.ND6"	"AC016700.2"	"AC005695.1"	"UBE2C"	"AOC1"	"H2BC17"	"MT1H"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MT.ND6"
